,player_name,class_name,matches_played,innings_bowled_in,balls_bowled,runs_conceded,wickets_taken,best_innings_bowling,best_match_bowling,bowling_average,economy_rate,bowling_strike_rate,four_wkts_in_an_inns,five_wkts_in_an_inns,ten_wkts_in_a_match
1817,25635,ODIs,12,2,72,74,0,-,-,-,6.16,-,0,0,0
1818,25635,First-class,120,,475,235,7,2/33,,33.57,2.96,67.8,,0,0
1819,25635,List A,91,,426,357,7,2/30,2/30,51.00,5.02,60.8,0,0,0
1820,430105,ODIs,1,-,-,-,-,-,-,-,-,-,-,-,-
1821,430105,T20Is,2,-,-,-,-,-,-,-,-,-,-,-,-
1822,430105,List A,21,-,-,-,-,-,-,-,-,-,-,-,-
1823,430105,T20s,2,-,-,-,-,-,-,-,-,-,-,-,-
1824,52626,Tests,7,1,12,0,0,-,-,-,0.00,-,0,0,0
1825,52626,ODIs,25,2,9,6,0,-,-,-,4.00,-,0,0,0
1826,52626,T20Is,8,-,-,-,-,-,-,-,-,-,-,-,-
1827,52626,First-class,34,,36,14,0,-,-,-,2.33,-,0,0,0
1828,52626,List A,66,,27,20,0,-,-,-,4.44,-,0,0,0
1829,52626,T20s,23,-,-,-,-,-,-,-,-,-,-,-,-
1830,25883,ODIs,2,-,-,-,-,-,-,-,-,-,-,-,-
1831,25883,First-class,2,,66,35,1,1/10,,35.00,3.18,66.0,0,0,0
1832,25883,List A,17,,157,163,8,2/20,2/20,20.37,6.22,19.6,0,0,0
1833,25883,T20s,3,-,-,-,-,-,-,-,-,-,-,-,-
1834,25625,ODIs,1,-,-,-,-,-,-,-,-,-,-,-,-
1835,25625,First-class,2,,428,189,11,5/78,,17.18,2.64,38.9,0,1,0
1836,25625,List A,14,,604,499,16,4/39,4/39,31.18,4.95,37.7,1,0,0
1837,398513,ODIs,1,1,42,21,1,1/21,1/21,21.00,3.00,42.0,0,0,0
1838,398513,T20Is,2,2,33,39,2,2/28,2/28,19.50,7.09,16.5,0,0,0
