,player_name,class_name,matches_played,innings_bowled_in,balls_bowled,runs_conceded,wickets_taken,best_innings_bowling,best_match_bowling,bowling_average,economy_rate,bowling_strike_rate,four_wkts_in_an_inns,five_wkts_in_an_inns,ten_wkts_in_a_match
0,272477,ODIs,9,9,494,424,15,5/44,5/44,28.26,5.14,32.9,0,1,0
1,272477,T20Is,7,6,96,117,7,4/21,4/21,16.71,7.31,13.7,1,0,0
2,272477,First-class,31,54,5731,3006,126,9/37,14/89,23.85,3.14,45.4,10,6,2
3,272477,List A,46,46,2228,1824,64,5/27,5/27,28.50,4.91,34.8,1,2,0
4,272477,T20s,61,59,1304,1566,74,4/21,4/21,21.16,7.20,17.6,2,0,0
5,326632,Tests,16,-,-,-,-,-,-,-,-,-,-,-,-
6,326632,ODIs,6,-,-,-,-,-,-,-,-,-,-,-,-
7,326632,First-class,109,9,114,48,1,1/0,1/1,48.00,2.52,114.0,0,0,0
8,326632,List A,68,2,18,33,1,1/20,1/20,33.00,11.00,18.0,0,0,0
9,326632,T20s,62,8,54,71,3,1/8,1/8,23.66,7.88,18.0,0,0,0
10,326434,ODIs,27,-,-,-,-,-,-,-,-,-,-,-,-
11,326434,T20Is,19,-,-,-,-,-,-,-,-,-,-,-,-
12,326434,First-class,29,-,-,-,-,-,-,-,-,-,-,-,-
13,326434,List A,52,-,-,-,-,-,-,-,-,-,-,-,-
14,326434,T20s,44,-,-,-,-,-,-,-,-,-,-,-,-
15,261354,ODIs,32,32,1678,1555,52,4/48,4/48,29.90,5.56,32.2,1,0,0
16,261354,T20Is,28,27,582,802,34,4/31,4/31,23.58,8.26,17.1,1,0,0
17,261354,First-class,37,63,6861,3557,124,6/84,9/125,28.68,3.11,55.3,6,2,0
18,261354,List A,73,73,3947,3325,129,5/26,5/26,25.77,5.05,30.5,4,1,0
19,261354,T20s,108,105,2302,2988,130,4/20,4/20,22.98,7.78,17.7,2,0,0
20,489889,Tests,20,37,4401,2070,94,6/23,10/62,22.02,2.82,46.8,7,4,1
21,489889,ODIs,56,56,2937,2503,94,5/70,5/70,26.62,5.11,31.2,5,1,0
22,489889,T20Is,20,20,456,531,25,3/15,3/15,21.24,6.98,18.2,0,0,0
23,489889,First-class,32,58,6631,3165,134,6/23,10/62,23.61,2.86,49.4,10,4,1
24,489889,List A,76,76,3943,3366,125,5/70,5/70,26.92,5.12,31.5,7,1,0
25,489889,T20s,72,72,1634,2138,85,4/16,4/16,25.15,7.85,19.2,2,0,0
26,5334,Tests,5,1,12,8,0,-,-,-,4.00,-,0,0,0
27,5334,ODIs,117,19,266,239,4,1/2,1/2,59.75,5.39,66.5,0,0,0
28,5334,T20Is,52,2,12,27,0,-,-,-,13.50,-,0,0,0
29,5334,First-class,83,28,464,318,5,1/0,1/0,63.60,4.11,92.8,0,0,0
30,5334,List A,196,29,461,420,9,2/44,2/44,46.66,5.46,51.2,0,0,0
31,5334,T20s,253,25,221,340,7,1/9,1/9,48.57,9.23,31.5,0,0,0
32,334337,Tests,16,-,-,-,-,-,-,-,-,-,-,-,-
33,334337,ODIs,21,-,-,-,-,-,-,-,-,-,-,-,-
34,334337,T20Is,2,-,-,-,-,-,-,-,-,-,-,-,-
35,334337,First-class,100,1,12,21,0,-,-,-,10.50,-,0,0,0
36,334337,List A,100,-,-,-,-,-,-,-,-,-,-,-,-
37,334337,T20s,63,-,-,-,-,-,-,-,-,-,-,-,-
38,434813,Tests,6,-,-,-,-,-,-,-,-,-,-,-,-
39,434813,First-class,79,3,24,17,0,-,-,-,4.25,-,0,0,0
40,434813,List A,38,-,-,-,-,-,-,-,-,-,-,-,-
41,434813,T20s,39,-,-,-,-,-,-,-,-,-,-,-,-
42,288284,Tests,44,82,9575,4452,164,6/67,9/136,27.14,2.78,58.3,4,6,0
43,288284,ODIs,44,43,2294,1811,72,6/52,6/52,25.15,4.73,31.8,1,3,0
44,288284,T20Is,7,7,168,269,8,4/30,4/30,33.62,9.60,21.0,1,0,0
45,288284,First-class,78,144,15634,7330,290,6/50,9/136,25.27,2.81,53.9,10,7,0
46,288284,List A,93,91,4959,3970,146,7/36,7/36,27.19,4.80,33.9,2,4,0
47,288284,T20s,30,30,695,901,37,4/30,4/30,24.35,7.77,18.7,1,0,0
48,530011,Tests,8,5,66,45,0,-,-,-,4.09,-,0,0,0
49,530011,ODIs,42,26,765,737,12,2/22,2/22,61.41,5.78,63.7,0,0,0
50,530011,T20Is,16,3,24,39,1,1/16,1/16,39.00,9.75,24.0,0,0,0
51,530011,First-class,86,90,4012,2534,41,3/42,4/64,61.80,3.78,97.8,0,0,0
52,530011,List A,91,46,1206,1195,20,2/9,2/9,59.75,5.94,60.3,0,0,0
53,530011,T20s,72,31,313,458,17,3/16,3/16,26.94,8.77,18.4,0,0,0
54,215155,Tests,41,2,12,5,0,-,-,-,2.50,-,0,0,0
55,215155,ODIs,39,-,-,-,-,-,-,-,-,-,-,-,-
56,215155,T20Is,9,-,-,-,-,-,-,-,-,-,-,-,-
57,215155,First-class,137,13,162,103,1,1/21,1/21,103.00,3.81,162.0,0,0,0
58,215155,List A,107,-,-,-,-,-,-,-,-,-,-,-,-
59,215155,T20s,66,-,-,-,-,-,-,-,-,-,-,-,-
60,787987,Tests,5,7,360,244,9,3/45,5/119,27.11,4.06,40.0,0,0,0
61,787987,First-class,59,61,3056,1985,44,3/45,5/77,45.11,3.89,69.4,0,0,0
62,787987,List A,27,9,366,362,7,3/46,3/46,51.71,5.93,52.2,0,0,0
63,787987,T20s,7,4,30,59,1,1/25,1/25,59.00,11.80,30.0,0,0,0
64,326637,ODIs,4,-,-,-,-,-,-,-,-,-,-,-,-
65,326637,T20Is,18,-,-,-,-,-,-,-,-,-,-,-,-
66,326637,First-class,41,8,84,64,0,-,-,-,4.57,-,0,0,0
67,326637,List A,50,7,69,45,1,1/3,1/3,45.00,3.91,69.0,0,0,0
68,326637,T20s,162,7,78,93,3,2/15,2/15,31.00,7.15,26.0,0,0,0
69,272279,Tests,86,164,21905,11059,343,8/50,13/154,32.24,3.02,63.8,13,14,2
70,272279,ODIs,27,27,1536,1232,27,4/44,4/44,45.62,4.81,56.8,1,0,0
71,272279,T20Is,2,2,30,48,1,1/33,1/33,48.00,9.60,30.0,0,0,0
72,272279,First-class,145,266,34445,17632,510,8/50,13/154,34.57,3.07,67.5,20,16,2
73,272279,List A,69,68,3775,3029,81,4/10,4/10,37.39,4.81,46.6,4,0,0
74,272279,T20s,40,39,820,981,49,5/23,5/23,20.02,7.17,16.7,1,1,0
75,272450,Tests,31,52,2677,1537,35,4/61,5/86,43.91,3.44,76.4,1,0,0
76,272450,ODIs,53,50,1700,1564,44,5/33,5/33,35.54,5.52,38.6,1,1,0
77,272450,T20Is,11,9,114,156,6,2/6,2/6,26.00,8.21,19.0,0,0,0
78,272450,First-class,97,130,8013,4577,144,6/84,9/156,31.78,3.42,55.6,7,1,0
79,272450,List A,106,82,2966,2673,89,5/33,5/33,30.03,5.40,33.3,3,2,0
80,272450,T20s,74,57,839,1182,43,4/6,4/6,27.48,8.45,19.5,2,0,0
81,6683,Tests,38,-,-,-,-,-,-,-,-,-,-,-,-
82,6683,ODIs,73,-,-,-,-,-,-,-,-,-,-,-,-
83,6683,T20Is,15,-,-,-,-,-,-,-,-,-,-,-,-
84,6683,First-class,157,,216,155,2,2/20,,77.50,4.30,108.0,0,0,0
85,6683,List A,162,,36,31,1,1/14,1/14,31.00,5.16,36.0,0,0,0
86,6683,T20s,169,2,12,13,0,-,-,-,6.50,-,0,0,0
87,325026,Tests,7,9,462,341,8,4/127,4/127,42.62,4.42,57.7,1,0,0
88,325026,ODIs,108,85,2638,2468,50,4/46,4/46,49.36,5.61,52.7,2,0,0
89,325026,T20Is,59,40,564,704,26,3/10,3/10,27.07,7.48,21.6,0,0,0
90,325026,First-class,62,91,4876,2736,66,5/40,6/76,41.45,3.36,73.8,2,1,0
91,325026,List A,175,134,4337,3933,91,4/46,4/46,43.21,5.44,47.6,2,0,0
92,325026,T20s,238,153,1905,2501,79,3/10,3/10,31.65,7.87,24.1,0,0,0
93,7252,Tests,21,-,-,-,-,-,-,-,-,-,-,-,-
94,7252,ODIs,35,-,-,-,-,-,-,-,-,-,-,-,-
95,7252,T20Is,12,-,-,-,-,-,-,-,-,-,-,-,-
96,7252,First-class,116,3,36,23,0,-,-,-,3.83,-,0,0,0
97,7252,List A,132,-,-,-,-,-,-,-,-,-,-,-,-
98,7252,T20s,80,-,-,-,-,-,-,-,-,-,-,-,-
99,505110,Tests,2,-,-,-,-,-,-,-,-,-,-,-,-
100,505110,First-class,65,-,-,-,-,-,-,-,-,-,-,-,-
101,505110,List A,45,-,-,-,-,-,-,-,-,-,-,-,-
102,505110,T20s,26,-,-,-,-,-,-,-,-,-,-,-,-
103,774223,Tests,2,4,306,123,6,3/26,5/45,20.50,2.41,51.0,0,0,0
104,774223,ODIs,12,12,648,632,24,4/26,4/26,26.33,5.85,27.0,1,0,0
105,774223,T20Is,9,9,204,287,9,2/32,2/32,31.88,8.44,22.6,0,0,0
106,774223,First-class,13,25,2647,1262,55,8/47,11/105,22.94,2.86,48.1,2,2,1
107,774223,List A,29,29,1580,1419,49,4/26,4/26,28.95,5.38,32.2,1,0,0
108,774223,T20s,31,31,672,935,34,3/7,3/7,27.50,8.34,19.7,0,0,0
109,272262,ODIs,22,22,1143,1061,34,5/68,5/68,31.20,5.56,33.6,0,1,0
110,272262,T20Is,9,9,204,299,9,3/33,3/33,33.22,8.79,22.6,0,0,0
111,272262,First-class,32,61,6739,3341,99,5/69,9/124,33.74,2.97,68.0,7,1,0
112,272262,List A,80,79,4274,3730,130,6/48,6/48,28.69,5.23,32.8,2,6,0
113,272262,T20s,90,88,1933,2612,107,4/22,4/22,24.41,8.10,18.0,2,0,0
114,308798,ODIs,4,3,42,59,0,-,-,-,8.42,-,0,0,0
115,308798,T20Is,20,9,114,151,3,1/13,1/13,50.33,7.94,38.0,0,0,0
116,308798,First-class,13,20,909,630,18,3/78,4/43,35.00,4.15,50.5,0,0,0
117,308798,List A,30,25,766,753,17,3/53,3/53,44.29,5.89,45.0,0,0,0
118,308798,T20s,62,40,518,706,21,2/17,2/17,33.61,8.17,24.6,0,0,0
119,7898,Tests,64,120,13325,6482,214,6/54,9/104,30.28,2.91,62.2,8,8,0
120,7898,ODIs,20,19,901,743,17,3/55,3/55,43.70,4.94,53.0,0,0,0
121,7898,T20Is,2,2,48,58,3,2/24,2/24,19.33,7.25,16.0,0,0,0
122,7898,First-class,165,304,31758,15427,562,8/54,9/77,27.45,2.91,56.5,22,22,0
123,7898,List A,61,60,3058,2405,71,4/27,4/27,33.87,4.71,43.0,2,0,0
124,7898,T20s,46,45,936,1143,40,4/29,4/29,28.57,7.32,23.4,1,0,0
125,267192,Tests,64,49,1339,933,17,3/18,4/83,54.88,4.18,78.7,0,0,0
126,267192,ODIs,116,37,1058,937,28,3/16,3/16,33.46,5.31,37.7,0,0,0
127,267192,T20Is,30,17,291,377,17,3/20,3/20,22.17,7.77,17.1,0,0,0
128,267192,First-class,118,112,5057,3542,67,7/64,8/169,52.86,4.20,75.4,2,1,0
129,267192,List A,162,65,2000,1790,47,3/16,3/16,38.08,5.37,42.5,0,0,0
130,267192,T20s,176,52,824,1056,54,4/13,4/13,19.55,7.68,15.2,2,0,0
131,533042,ODIs,7,7,354,324,7,3/35,3/35,46.28,5.49,50.5,0,0,0
132,533042,T20Is,17,17,372,502,25,4/8,4/8,20.08,8.09,14.8,1,0,0
133,533042,First-class,4,8,720,347,13,3/50,6/103,26.69,2.89,55.3,0,0,0
134,533042,List A,21,21,1110,1008,25,4/37,4/37,40.32,5.44,44.4,1,0,0
135,533042,T20s,51,51,1130,1485,62,4/8,4/8,23.95,7.88,18.2,1,0,0
136,311592,Tests,51,97,10532,5951,211,6/50,11/94,28.20,3.39,49.9,10,11,2
137,311592,ODIs,83,83,4207,3482,169,6/28,6/28,20.60,4.96,24.8,11,7,0
138,311592,T20Is,23,23,525,592,31,3/11,3/11,19.09,6.76,16.9,0,0,0
139,311592,First-class,90,164,16586,9257,345,8/73,11/94,26.83,3.34,48.0,16,16,3
140,311592,List A,111,111,5735,4693,240,6/25,6/25,19.55,4.90,23.8,15,10,0
141,311592,T20s,86,85,1884,2241,128,4/15,4/15,17.50,7.13,14.7,1,0,0
142,325012,ODIs,39,37,1384,1414,33,3/16,3/16,42.84,6.13,41.9,0,0,0
143,325012,T20Is,19,15,230,319,9,2/27,2/27,35.44,8.32,25.5,0,0,0
144,325012,First-class,53,73,4016,2203,52,4/73,7/145,42.36,3.29,77.2,2,0,0
145,325012,List A,81,67,2394,2255,59,4/43,4/43,38.22,5.65,40.5,1,0,0
146,325012,T20s,97,76,1166,1691,61,4/15,4/15,27.72,8.70,19.1,3,0,0
147,500268,ODIs,3,-,-,-,-,-,-,-,-,-,-,-,-
148,500268,T20Is,5,3,36,42,3,2/12,2/12,14.00,7.00,12.0,0,0,0
149,500268,First-class,39,26,924,507,11,6/111,6/160,46.09,3.29,84.0,0,1,0
150,500268,List A,33,18,354,343,6,2/26,2/26,57.16,5.81,59.0,0,0,0
151,500268,T20s,78,24,240,279,17,2/3,2/3,16.41,6.97,14.1,0,0,0
152,219889,Tests,74,19,342,269,4,2/45,2/45,67.25,4.71,85.5,0,0,0
153,219889,ODIs,114,1,6,8,0,-,-,-,8.00,-,0,0,0
154,219889,T20Is,70,-,-,-,-,-,-,-,-,-,-,-,-
155,219889,First-class,102,34,595,455,6,2/45,2/45,75.83,4.58,99.1,0,0,0
156,219889,List A,159,8,144,158,4,1/11,1/11,39.50,6.58,36.0,0,0,0
157,219889,T20s,271,1,6,13,0,-,-,-,13.00,-,0,0,0
158,379504,ODIs,48,48,2480,2363,65,4/43,4/43,36.35,5.71,38.1,1,0,0
159,379504,T20Is,22,21,444,447,23,3/16,3/16,19.43,6.04,19.3,0,0,0
160,379504,First-class,36,63,7348,4804,102,6/62,10/119,47.09,3.92,72.0,3,2,1
161,379504,List A,82,81,4371,3970,118,4/18,4/18,33.64,5.44,37.0,4,0,0
162,379504,T20s,115,112,2319,2780,127,6/19,6/19,21.88,7.19,18.2,0,1,0
163,550137,ODIs,2,2,108,89,3,2/50,2/50,29.66,4.94,36.0,0,0,0
164,550137,T20Is,13,12,216,330,6,2/40,2/40,55.00,9.16,36.0,0,0,0
165,550137,First-class,32,54,4180,2714,76,6/86,8/145,35.71,3.89,55.0,5,1,0
166,550137,List A,64,64,2917,2446,105,6/35,6/35,23.29,5.03,27.7,5,2,0
167,550137,T20s,53,52,1007,1312,53,4/19,4/19,24.75,7.81,19.0,2,0,0
168,410763,Tests,5,7,776,433,11,3/38,4/59,39.36,3.34,70.5,0,0,0
169,410763,ODIs,2,2,108,114,5,5/58,5/58,22.80,6.33,21.6,0,1,0
170,410763,T20Is,3,3,66,106,4,2/27,2/27,26.50,9.63,16.5,0,0,0
171,410763,First-class,76,127,11237,6612,227,6/25,9/43,29.12,3.53,49.5,7,12,0
172,410763,List A,57,56,2346,2154,70,5/58,5/58,30.77,5.50,33.5,2,1,0
173,410763,T20s,46,44,865,1157,56,4/35,4/35,20.66,8.02,15.4,1,0,0
174,380354,Tests,4,-,-,-,-,-,-,-,-,-,-,-,-
175,380354,ODIs,37,-,-,-,-,-,-,-,-,-,-,-,-
176,380354,T20Is,13,-,-,-,-,-,-,-,-,-,-,-,-
177,380354,First-class,83,8,89,83,2,1/14,1/14,41.50,5.59,44.5,0,0,0
178,380354,List A,142,-,-,-,-,-,-,-,-,-,-,-,-
179,380354,T20s,102,-,-,-,-,-,-,-,-,-,-,-,-
180,270135,Tests,2,3,66,24,1,1/10,1/17,24.00,2.18,66.0,0,0,0
181,270135,ODIs,1,1,18,17,0,-,-,-,5.66,-,0,0,0
182,270135,T20Is,9,1,6,13,1,1/13,1/13,13.00,13.00,6.0,0,0,0
183,270135,First-class,79,111,6559,3689,102,6/75,7/105,36.16,3.37,64.3,8,1,0
184,270135,List A,99,71,2130,2056,68,5/38,5/38,30.23,5.79,31.3,2,1,0
185,270135,T20s,67,8,78,150,6,3/38,3/38,25.00,11.53,13.0,0,0,0
186,932355,Tests,2,2,258,191,1,1/107,1/107,191.00,4.44,258.0,0,0,0
187,932355,First-class,21,34,3239,1899,60,6/51,10/139,31.65,3.51,53.9,3,1,1
188,932355,List A,8,8,348,349,5,2/31,2/31,69.80,6.01,69.6,0,0,0
189,932355,T20s,5,5,102,136,7,4/17,4/17,19.42,8.00,14.5,1,0,0
190,55893,ODIs,2,1,18,16,0,-,-,-,5.33,-,0,0,0
191,55893,First-class,75,,2520,1346,30,4/55,4/80,44.86,3.20,84.0,1,0,0
192,55893,List A,95,,1256,1075,27,3/18,3/18,39.81,5.13,46.5,0,0,0
193,55893,T20s,12,3,30,50,0,-,-,-,10.00,-,0,0,0
194,280734,Tests,37,4,24,12,0,-,-,-,3.00,-,0,0,0
195,280734,ODIs,78,-,-,-,-,-,-,-,-,-,-,-,-
196,280734,T20Is,14,-,-,-,-,-,-,-,-,-,-,-,-
197,280734,First-class,105,22,303,217,3,1/6,1/6,72.33,4.29,101.0,0,0,0
198,280734,List A,171,5,36,38,2,2/18,2/18,19.00,6.33,18.0,0,0,0
199,280734,T20s,106,3,30,33,0,-,-,-,6.60,-,0,0,0
200,375724,Tests,7,11,750,504,8,3/87,3/99,63.00,4.03,93.7,0,0,0
201,375724,First-class,73,121,10423,6295,150,5/65,6/119,41.96,3.62,69.4,5,1,0
202,375724,List A,77,76,3644,3338,111,5/24,5/24,30.07,5.49,32.8,3,2,0
203,375724,T20s,30,29,546,786,30,4/10,4/10,26.20,8.63,18.2,1,0,0
204,536936,Tests,15,-,-,-,-,-,-,-,-,-,-,-,-
205,536936,ODIs,32,-,-,-,-,-,-,-,-,-,-,-,-
206,536936,T20Is,18,-,-,-,-,-,-,-,-,-,-,-,-
207,536936,First-class,60,-,-,-,-,-,-,-,-,-,-,-,-
208,536936,List A,108,-,-,-,-,-,-,-,-,-,-,-,-
209,536936,T20s,72,-,-,-,-,-,-,-,-,-,-,-,-
210,56025,Tests,45,62,3345,1910,42,5/51,8/110,45.47,3.42,79.6,0,1,0
211,56025,ODIs,181,132,4066,3501,76,3/4,3/4,46.06,5.16,53.5,0,0,0
212,56025,T20Is,76,51,689,832,31,3/18,3/18,26.83,7.24,22.2,0,0,0
213,56025,First-class,105,,8643,4803,134,7/94,,35.84,3.33,64.5,4,3,1
214,56025,List A,267,,7250,5817,156,5/66,5/66,37.28,4.81,46.4,1,1,0
215,56025,T20s,196,144,2156,2555,99,3/6,3/6,25.80,7.11,21.7,0,0,0
216,56007,Tests,36,51,5990,3239,78,4/60,5/88,41.52,3.24,76.7,4,0,0
217,56007,ODIs,216,216,10747,8713,266,6/26,6/26,32.75,4.86,40.4,7,1,0
218,56007,T20Is,54,53,1139,1527,42,4/19,4/19,36.35,8.04,27.1,1,0,0
219,56007,First-class,57,,8970,4732,135,4/27,,35.05,3.16,66.4,7,0,0
220,56007,List A,301,,14827,11825,417,6/26,6/26,28.35,4.78,35.5,14,6,0
221,56007,T20s,150,146,3197,3992,138,4/11,4/11,28.92,7.49,23.1,2,0,0
222,629063,Tests,19,34,4903,2748,86,7/58,12/117,31.95,3.36,57.0,1,7,2
223,629063,ODIs,34,33,1729,1324,34,4/29,4/29,38.94,4.59,50.8,1,0,0
224,629063,T20Is,13,13,216,330,4,2/31,2/31,82.50,9.16,54.0,0,0,0
225,629063,First-class,32,55,7633,3824,137,7/24,12/117,27.91,3.00,55.7,2,11,4
226,629063,List A,82,81,3750,2828,90,4/29,4/29,31.42,4.52,41.6,1,0,0
227,629063,T20s,52,52,1008,1283,37,2/12,2/12,34.67,7.63,27.2,0,0,0
228,269237,Tests,5,-,-,-,-,-,-,-,-,-,-,-,-
229,269237,ODIs,21,-,-,-,-,-,-,-,-,-,-,-,-
230,269237,T20Is,13,-,-,-,-,-,-,-,-,-,-,-,-
231,269237,First-class,93,6,91,71,2,1/12,1/12,35.50,4.68,45.5,0,0,0
232,269237,List A,138,-,-,-,-,-,-,-,-,-,-,-,-
233,269237,T20s,110,-,-,-,-,-,-,-,-,-,-,-,-
234,629070,ODIs,19,19,858,832,21,3/45,3/45,39.61,5.81,40.8,0,0,0
235,629070,T20Is,9,9,162,290,5,2/53,2/53,58.00,10.74,32.4,0,0,0
236,629070,First-class,33,50,3881,2162,60,5/41,7/121,36.03,3.34,64.6,2,1,0
237,629070,List A,70,69,3324,2884,102,5/9,5/9,28.27,5.20,32.5,0,2,0
238,629070,T20s,49,48,962,1330,60,4/22,4/22,22.16,8.29,16.0,2,0,0
239,373696,Tests,35,25,517,354,4,3/27,3/42,88.50,4.10,129.2,0,0,0
240,373696,ODIs,28,12,234,190,7,2/13,2/13,27.14,4.87,33.4,0,0,0
241,373696,T20Is,6,2,18,32,0,-,-,-,10.66,-,0,0,0
242,373696,First-class,95,69,1816,1172,16,3/27,3/42,73.25,3.87,113.5,0,0,0
243,373696,List A,139,68,1729,1378,39,3/29,3/29,35.33,4.78,44.3,0,0,0
244,373696,T20s,89,14,174,229,6,2/14,2/14,38.16,7.89,29.0,0,0,0
245,550133,Tests,2,3,60,45,0,-,-,-,4.50,-,0,0,0
246,550133,ODIs,32,30,794,683,14,3/13,3/13,48.78,5.16,56.7,0,0,0
247,550133,T20Is,8,7,88,99,4,2/21,2/21,24.75,6.75,22.0,0,0,0
248,550133,First-class,36,48,2441,1430,27,4/33,7/98,52.96,3.51,90.4,1,0,0
249,550133,List A,108,84,2474,2001,51,5/43,5/43,39.23,4.85,48.5,0,1,0
250,550133,T20s,59,32,357,441,14,2/9,2/9,31.50,7.41,25.5,0,0,0
251,56029,Tests,66,-,-,-,-,-,-,-,-,-,-,-,-
252,56029,ODIs,212,-,-,-,-,-,-,-,-,-,-,-,-
253,56029,T20Is,77,-,-,-,-,-,-,-,-,-,-,-,-
254,56029,First-class,107,,72,34,1,1/23,1/23,34.00,2.83,72.0,0,0,0
255,56029,List A,292,-,-,-,-,-,-,-,-,-,-,-,-
256,56029,T20s,169,-,-,-,-,-,-,-,-,-,-,-,-
257,330902,Tests,13,21,1845,985,28,4/37,5/66,35.17,3.20,65.8,2,0,0
258,330902,ODIs,53,52,2645,2258,98,6/43,6/43,23.04,5.12,26.9,3,4,0
259,330902,T20Is,30,30,663,848,48,5/22,5/22,17.66,7.67,13.8,1,1,0
260,330902,First-class,30,52,4139,1933,78,5/28,6/33,24.78,2.80,53.0,7,1,0
261,330902,List A,59,58,2931,2422,113,6/43,6/43,21.43,4.95,25.9,3,5,0
262,330902,T20s,88,88,1968,2366,110,5/22,5/22,21.50,7.21,17.8,2,1,0
263,932635,Tests,2,4,228,133,6,5/61,5/90,22.16,3.50,38.0,0,1,0
264,932635,First-class,18,31,4156,2174,64,8/47,11/145,33.96,3.13,64.9,2,4,2
265,932635,List A,40,40,1924,1440,51,4/53,4/53,28.23,4.49,37.7,1,0,0
266,932635,T20s,17,16,330,384,10,2/10,2/10,38.40,6.98,33.0,0,0,0
267,629058,Tests,2,1,4,13,0,-,-,-,19.50,-,0,0,0
268,629058,ODIs,3,-,-,-,-,-,-,-,-,-,-,-,-
269,629058,First-class,35,15,286,174,4,2/44,2/45,43.50,3.65,71.5,0,0,0
270,629058,List A,92,19,335,295,8,2/39,2/39,36.87,5.28,41.8,0,0,0
271,629058,T20s,40,7,62,85,2,2/9,2/9,42.50,8.22,31.0,0,0,0
272,446810,Tests,1,2,174,76,4,2/27,4/76,19.00,2.62,43.5,0,0,0
273,446810,ODIs,5,5,264,224,5,2/38,2/38,44.80,5.09,52.8,0,0,0
274,446810,T20Is,13,12,231,265,8,3/28,3/28,33.12,6.88,28.8,0,0,0
275,446810,First-class,55,90,9793,4628,148,5/21,9/43,31.27,2.83,66.1,7,3,0
276,446810,List A,86,86,4191,3044,107,5/32,5/32,28.44,4.35,39.1,1,2,0
277,446810,T20s,76,73,1360,1652,57,3/8,3/8,28.98,7.28,23.8,0,0,0
278,410765,Tests,3,-,-,-,-,-,-,-,-,-,-,-,-
279,410765,ODIs,2,-,-,-,-,-,-,-,-,-,-,-,-
280,410765,T20Is,9,-,-,-,-,-,-,-,-,-,-,-,-
281,410765,First-class,76,5,36,36,1,1/3,1/3,36.00,6.00,36.0,0,0,0
282,410765,List A,92,-,-,-,-,-,-,-,-,-,-,-,-
283,410765,T20s,76,-,-,-,-,-,-,-,-,-,-,-,-
284,300619,Tests,26,43,4068,2651,33,5/166,5/210,80.33,3.91,123.2,0,1,0
285,300619,ODIs,99,97,4432,4191,124,6/26,6/26,33.79,5.67,35.7,7,1,0
286,300619,T20Is,27,26,567,879,28,3/31,3/31,31.39,9.30,20.2,0,0,0
287,300619,First-class,52,85,7105,4636,80,5/22,6/80,57.95,3.91,88.8,0,3,0
288,300619,List A,168,165,7778,6854,240,6/18,6/18,28.55,5.28,32.4,10,5,0
289,300619,T20s,98,97,2015,2772,117,5/32,5/32,23.69,8.25,17.2,3,1,0
290,373538,Tests,11,7,144,98,0,-,-,-,4.08,-,0,0,0
291,373538,ODIs,63,20,290,325,3,1/12,1/12,108.33,6.72,96.6,0,0,0
292,373538,T20Is,41,8,67,70,6,3/11,3/11,11.66,6.26,11.1,0,0,0
293,373538,First-class,58,55,1201,704,16,3/17,3/19,44.00,3.51,75.0,0,0,0
294,373538,List A,152,74,1613,1522,52,6/43,6/43,29.26,5.66,31.0,3,1,0
295,373538,T20s,140,31,349,417,18,3/11,3/11,23.16,7.16,19.3,0,0,0
296,629057,Tests,3,-,-,-,-,-,-,-,-,-,-,-,-
297,629057,First-class,46,10,86,80,0,-,-,-,5.58,-,0,0,0
298,629057,List A,59,-,-,-,-,-,-,-,-,-,-,-,-
299,629057,T20s,7,-,-,-,-,-,-,-,-,-,-,-,-
300,56143,Tests,55,93,12774,6415,205,7/36,10/124,31.29,3.01,62.3,8,18,2
301,56143,ODIs,205,202,10457,7800,260,5/29,5/29,30.00,4.47,40.2,8,2,0
302,56143,T20Is,72,71,1571,1775,88,5/20,5/20,20.17,6.77,17.8,3,1,0
303,56143,First-class,91,,18924,9190,305,7/32,,30.13,2.91,62.0,10,23,2
304,56143,List A,250,246,12385,9158,321,5/18,5/18,28.52,4.43,38.5,13,3,0
305,56143,T20s,298,292,6271,7190,346,6/6,6/6,20.78,6.87,18.1,8,4,0
306,436677,Tests,14,10,418,262,3,2/68,2/68,87.33,3.76,139.3,0,0,0
307,436677,ODIs,51,11,228,229,5,3/58,3/58,45.80,6.02,45.6,0,0,0
308,436677,T20Is,41,10,93,173,4,1/18,1/18,43.25,11.16,23.2,0,0,0
309,436677,First-class,65,73,2613,1471,33,5/34,5/47,44.57,3.37,79.1,0,2,0
310,436677,List A,129,71,1890,1688,48,4/34,4/34,35.16,5.35,39.3,1,0,0
311,436677,T20s,106,30,345,586,12,2/17,2/17,48.83,10.19,28.7,0,0,0
312,927619,Tests,2,3,360,242,0,-,-,-,4.03,-,0,0,0
313,927619,First-class,24,35,3061,1827,51,5/54,10/139,35.82,3.58,60.0,3,3,1
314,927619,List A,31,31,1415,1295,48,4/31,4/31,26.97,5.49,29.4,3,0,0
315,927619,T20s,18,18,364,504,19,3/20,3/20,26.52,8.30,19.1,0,0,0
316,401057,Tests,24,43,5758,3073,99,8/39,11/170,31.04,3.20,58.1,3,7,1
317,401057,ODIs,4,4,222,151,5,4/11,4/11,30.20,4.08,44.4,1,0,0
318,401057,First-class,64,113,14635,7780,263,8/39,12/122,29.58,3.18,55.6,11,20,5
319,401057,List A,94,94,4744,3705,126,6/19,6/19,29.40,4.68,37.6,3,2,0
320,401057,T20s,69,67,1271,1500,66,3/10,3/10,22.72,7.08,19.2,0,0,0
