,team_1_name,team_2_name,team_1_score,team_2_score,win_commnet,team_1_fall_of_wickets,team_2_fall_of_wickets,series_name,Toss_details,Match_number,Season
0,England,Australia,190,191/5 (34.6/40 ov),Australia won by 5 wickets (with 42 balls remaining),"Fall of wickets: 1-21 (Geoff Boycott), 2-87 (Keith Fletcher), 3-124 (Basil D'Oliveira), 4-144 (John Hampshire), 5-148 (Colin Cowdrey), 6-152 (Ray Illingworth), 7-156 (John Edrich), 8-171 (John Snow), 9-183 (Ken Shuttleworth), 10-190 (Alan Knott)","Fall of wickets: 1-19 (Keith Stackpole), 2-51 (Bill Lawry), 3-117 (Doug Walters), 4-158 (Ian Redpath), 5-165 (Ian Chappell)",England [Marylebone Cricket Club] tour of Australia 1970/71,"Australia , elected to field first",ODI no. 1,1970/71
1,Australia,England,222/8,226/4 (49.1/55 ov),England won by 6 wickets (with 35 balls remaining),"Fall of wickets: 1-4 (Graeme Watson), 2-66 (Keith Stackpole), 3-125 (Ian Chappell), 4-156 (Greg Chappell), 5-167 (Paul Sheahan), 6-170 (Doug Walters), 7-205 (Rod Marsh), 8-222 (Ross Edwards)","Fall of wickets: 1-48 (Geoff Boycott), 2-173 (Keith Fletcher), 3-174 (Brian Close), 4-215 (Dennis Amiss)",Australia tour of England and Scotland 1972,"Australia , elected to bat first",ODI no. 2,1972
2,New Zealand,Pakistan,187,165 (33.3/40 ov),New Zealand won by 22 runs,"Fall of wickets: 1-35 (Glenn Turner), 2-43 (Bevan Congdon), 3-45 (Peter Coman), 4-62 (Brian Hastings), 5-98 (Graham Vivian), 6-143 (Mark Burgess), 7-152 (Dayle Hadlee), 8-160 (Ken Wadsworth), 9-176 (Hedley Howarth), 10-187 (Richard Collinge)","Fall of wickets: 1-43 (Intikhab Alam), 2-52 (Majid Khan), 3-60 (Sadiq Mohammad), 4-71 (Asif Iqbal), 5-93 (Wasim Raja), 6-99 (Nasim-ul-Ghani), 7-103 (Mushtaq Mohammad), 8-136 (Wasim Bari), 9-145 (Saleem Altaf), 10-165 (Sarfraz Nawaz)",Pakistan tour of New Zealand 1972/73,"Pakistan , elected to field first",ODI no. 5,1972/73
3,England,West Indies,189/9,190/2 (42.2/55 ov),West Indies won by 8 wickets (with 76 balls remaining),"Fall of wickets: 1-38 (Mike Smith), 2-39 (Mike Denness), 3-59 (John Jameson), 4-59 (David Lloyd), 5-100 (Tony Greig), 6-135 (Chris Old), 7-142 (Bob Taylor), 8-177 (Geoff Arnold), 9-184 (Keith Fletcher)","Fall of wickets: 1-43 (Ron Headley), 2-186 (Roy Fredericks)",West Indies tour of England 1973,"England , elected to bat first",ODI no. 9,1973
4,New Zealand,Australia,194/9,195/3 (24.3/35 ov),Australia won by 7 wickets (with 85 balls remaining),"Fall of wickets: 1-0 (Peter Coman), 2-12 (Glenn Turner), 3-61 (Brian Hastings), 4-94 (Mark Burgess), 5-140 (Vic Pollard), 6-145 (Bevan Congdon), 7-153 (Sir Richard Hadlee), 8-153 (Ken Wadsworth), 9-190 (Dayle Hadlee)","Fall of wickets: 1-0 (Ian Redpath), 2-136 (Keith Stackpole), 3-160 (Ian Chappell)",Australia tour of New Zealand 1973/74,"New Zealand , elected to bat first",ODI no. 10,1973/74
5,Australia,New Zealand,265/5,234/6 (35 ov),Australia won by 31 runs,"Fall of wickets: 1-39 (Keith Stackpole), 2-102 (Ashley Woodcock), 3-176 (Ian Chappell), 4-232 (Doug Walters), 5-261 (Ian Redpath)","Fall of wickets: 1-19 (Glenn Turner), 2-58 (Peter Coman), 3-64 (John Parker), 4-70 (Brian Hastings), 5-83 (Mark Burgess), 6-213 (Ken Wadsworth)",Australia tour of New Zealand 1973/74,"Australia , elected to bat first",ODI no. 11,1973/74
6,India,England,171,172/4 (48.5/55 ov),England won by 6 wickets (with 37 balls remaining),"Fall of wickets: 1-40 (Sunil Gavaskar), 2-48 (Sudhir Naik), 3-60 (Ajit Wadekar), 4-64 (Gopal Bose), 5-75 (Farokh Engineer), 6-94 (Brijesh Patel), 7-139 (Gundappa Viswanath), 8-142 (Eknath Solkar), 9-156 (Syed Abid Ali), 10-171 (Ashok Mankad)","Fall of wickets: 1-19 (Mike Smith), 2-65 (John Edrich), 3-71 (David Lloyd), 4-113 (Mike Denness)",India tour of England 1974,"India , elected to bat first",ODI no. 13,1974
7,Australia,England,190,191/7 (37.1/40 ov),England won by 3 wickets (with 23 balls remaining),"Fall of wickets: 1-5 (Wally Edwards), 2-11 (Ian Redpath), 3-65 (Ian Chappell), 4-105 (Greg Chappell), 5-122 (Ross Edwards), 6-139 (Doug Walters), 7-159 (Rod Marsh), 8-173 (Terry Jenner), 9-183 (Jeff Thomson), 10-190 (Max Walker)","Fall of wickets: 1-70 (Dennis Amiss), 2-117 (David Lloyd), 3-124 (Brian Luckhurst), 4-154 (Chris Old), 5-157 (Tony Greig), 6-182 (Mike Denness), 7-182 (Keith Fletcher)",England tour of Australia 1974/75,"England , elected to field first",ODI no. 16,1974/75
8,West Indies,Australia,224,225/5 (31.5/40 ov),Australia won by 5 wickets (with 67 balls remaining),"Fall of wickets: 1-39 (Roy Fredericks), 2-48 (Lawrence Rowe), 3-86 (Gordon Greenidge), 4-96 (Clive Lloyd), 5-188 (Sir Viv Richards), 6-189 (Alvin Kallicharran), 7-201 (Bernard Julien), 8-220 (Deryck Murray), 9-220 (Keith Boyce), 10-224 (Vanburn Holder)","Fall of wickets: 1-1 (Rick McCosker), 2-86 (Alan Turner), 3-119 (Ian Chappell), 4-179 (Greg Chappell), 5-214 (Ian Redpath)",West Indies tour of Australia 1975/76,"Australia , elected to field first",ODI no. 34,1975/76
9,India,New Zealand,154,155/1 (30.3/35 ov),New Zealand won by 9 wickets (with 37 balls remaining),"Fall of wickets: 1-7 (Parthasarthi Sharma), 2-16 (Anshuman Gaekwad), 3-30 (Dilip Vengsarkar), 4-87 (Brijesh Patel), 5-113 (Gundappa Viswanath), 6-117 (Eknath Solkar), 7-138 (Syed Kirmani), 8-149 (Mohinder Amarnath), 9-149 (Srinivas Venkataraghavan), 10-154 (Madan Lal)",Fall of wickets: 1-73 (Jock Edwards),India tour of New Zealand 1975/76,"India , elected to bat first",ODI no. 35,1975/76
10,New Zealand,India,236/8,156 (31.6/35 ov),New Zealand won by 80 runs,"Fall of wickets: 1-71 (Jock Edwards), 2-106 (Glenn Turner), 3-109 (Bevan Congdon), 4-142 (Lance Cairns), 5-142 (John Parker), 6-194 (Mark Burgess), 7-194 (Sir Richard Hadlee), 8-230 (Brian McKechnie)","Fall of wickets: 1-40 (Parthasarthi Sharma), 2-66 (Dilip Vengsarkar), 3-78 (Anshuman Gaekwad), 4-97 (Mohinder Amarnath), 5-103 (Eknath Solkar), 6-120 (Sudhakar Rao), 7-128 (Brijesh Patel), 8-139 (Madan Lal), 9-139 (Srinivas Venkataraghavan), 10-156 (Pochiah Krishnamurthy)",India tour of New Zealand 1975/76,"New Zealand , elected to bat first",ODI no. 36,1975/76
11,New Zealand,Pakistan,198/8,197/9 (35 ov),New Zealand won by 1 run,"Fall of wickets: 1-48 (John Morrison), 2-48 (Murray Parker), 3-135 (Geoff Howarth), 4-143 (Glenn Turner), 5-160 (John Parker), 6-161 (Andy Roberts), 7-188 (Lance Cairns), 8-189 (David O'Sullivan)","Fall of wickets: 1-38 (Majid Khan), 2-43 (Sadiq Mohammad), 3-89 (Zaheer Abbas), 4-139 (Mushtaq Mohammad), 5-166 (Intikhab Alam), 6-188 (Wasim Raja), 7-191 (Javed Miandad), 8-192 (Sarfraz Nawaz), 9-195 (Asif Masood)",New Zealand tour of Pakistan 1976/77,"New Zealand , elected to bat first",ODI no. 40,1976/77
12,England,Australia,242,246/8 (53.2/55 ov),Australia won by 2 wickets (with 10 balls remaining),"Fall of wickets: 1-161 (Mike Brearley), 2-168 (Derek Randall), 3-179 (Graham Barlow), 4-196 (Tony Greig), 5-203 (Alan Knott), 6-207 (Geoff Miller), 7-217 (Dennis Amiss), 8-227 (John Lever), 9-241 (Derek Underwood), 10-242 (Chris Old)","Fall of wickets: 1-33 (Rick McCosker), 2-181 (Richie Robinson), 3-186 (Kim Hughes), 4-209 (Doug Walters), 5-225 (David Hookes), 6-228 (Ray Bright), 7-228 (Kerry O'Keeffe), 8-237 (Jeff Thomson)",Australia tour of England 1977,"Australia , elected to field first",ODI no. 44,1977
13,Pakistan,England,208/6,212/7 (35 ov),England won by 3 wickets (with 0 balls remaining),"Fall of wickets: 1-4 (Sadiq Mohammad), 2-46 (Mudassar Nazar), 3-63 (Shafiq Ahmed), 4-114 (Wasim Raja), 5-167 (Pervez Mir), 6-201 (Hasan Jamil)","Fall of wickets: 1-66 (Mike Brearley), 2-111 (Mike Gatting), 3-127 (Brian Rose), 4-134 (Chris Old), 5-181 (Derek Randall), 6-193 (Graham Roope), 7-205 (Phil Edmonds)",England tour of Pakistan 1977/78,"Pakistan , elected to bat first",ODI no. 45,1977/78
14,Pakistan,England,151,152/4 (32.7/35 ov),England won by 6 wickets (with 17 balls remaining),"Fall of wickets: 1-20 (Sadiq Mohammad), 2-55 (Shafiq Ahmed), 3-57 (Mudassar Nazar), 4-65 (Haroon Rasheed), 5-74 (Javed Miandad), 6-76 (Wasim Bari), 7-140 (Wasim Raja), 8-150 (Hasan Jamil), 9-150 (Iqbal Qasim), 10-151 (Sikander Bakht)","Fall of wickets: 1-17 (Graham Roope), 2-43 (Geoff Miller), 3-104 (Brian Rose), 4-112 (Mike Gatting)",England tour of Pakistan 1977/78,"England , elected to field first",ODI no. 46,1977/78
15,Pakistan,England,158/6,122 (31.6/35 ov),Pakistan won by 36 runs,"Fall of wickets: 1-22 (Arshad Pervez), 2-41 (Shafiq Ahmed), 3-52 (Mudassar Nazar), 4-53 (Wasim Raja), 5-112 (Javed Miandad), 6-148 (Hasan Jamil)","Fall of wickets: 1-11 (Mike Brearley), 2-15 (Geoff Boycott), 3-25 (Mike Gatting), 4-42 (Sir Ian Botham), 5-49 (Chris Old), 6-97 (Derek Randall), 7-118 (Bob Taylor), 8-119 (Phil Edmonds), 9-121 (John Lever), 10-122 (Graham Roope)",England tour of Pakistan 1977/78,"England , elected to field first",ODI no. 47,1977/78
16,England,Pakistan,248/6,154/8 (55 ov),England won by 94 runs,"Fall of wickets: 1-27 (Barry Wood), 2-60 (Clive Radley), 3-83 (David Lloyd), 4-188 (Graham Roope), 5-194 (Sir Ian Botham), 6-195 (Geoff Miller)","Fall of wickets: 1-27 (Sadiq Mohammad), 2-38 (Arshad Pervez), 3-39 (Javed Miandad), 4-80 (Haroon Rasheed), 5-117 (Mudassar Nazar), 6-130 (Wasim Bari), 7-154 (Wasim Raja), 8-154 (Sarfraz Nawaz)",Pakistan tour of England 1978,"Pakistan , elected to field first",ODI no. 51,1978
17,England,New Zealand,278/5,152 (41.2/55 ov),England won by 126 runs,"Fall of wickets: 1-0 (Graham Gooch), 2-44 (Mike Brearley), 3-149 (David Gower), 4-238 (Derek Randall), 5-278 (Sir Ian Botham)","Fall of wickets: 1-44 (John Wright), 2-80 (Bruce Edgar), 3-80 (Jock Edwards), 4-84 (Mark Burgess), 5-84 (Geoff Howarth), 6-85 (Sir Richard Hadlee), 7-88 (Bevan Congdon), 8-133 (Richard Collinge), 9-152 (Lance Cairns)",New Zealand tour of England and Netherlands 1978,"England , elected to bat first",ODI no. 53,1978
18,Australia,England,101,102/3 (28.2/40 ov),England won by 7 wickets (with 94 balls remaining),"Fall of wickets: 1-27 (Andrew Hilditch), 2-52 (Allan Border), 3-54 (Graeme Wood), 4-55 (Kim Hughes), 5-76 (Graham Yallop), 6-78 (Phil Carlson), 7-94 (Trevor Laughlin), 8-99 (Rodney Hogg), 9-101 (John Maclean), 10-101 (Geoff Dymock)","Fall of wickets: 1-7 (Mike Brearley), 2-29 (Derek Randall), 3-69 (Graham Gooch)",England tour of Australia 1978/79,"Australia , elected to bat first",ODI no. 58,1978/79
19,England,Australia,212/6,215/6 (38.6/40 ov),Australia won by 4 wickets (with 10 balls remaining),"Fall of wickets: 1-0 (Mike Brearley), 2-7 (Derek Randall), 3-50 (Graham Gooch), 4-89 (Geoff Boycott), 5-153 (Sir Ian Botham), 6-158 (David Bairstow)","Fall of wickets: 1-7 (Rick Darling), 2-55 (Graeme Wood), 3-90 (Kim Hughes), 4-145 (Graham Yallop), 5-185 (Gary Cosier), 6-185 (Phil Carlson)",England tour of Australia 1978/79,"Australia , elected to field first",ODI no. 59,1978/79
20,England,West Indies,208/8,209/2 (47.3/50 ov),West Indies won by 8 wickets (with 15 balls remaining),"Fall of wickets: 1-40 (Graham Gooch), 2-54 (Peter Willey), 3-118 (David Gower), 4-126 (Geoff Boycott), 5-155 (Wayne Larkins), 6-188 (Sir Ian Botham), 7-194 (Mike Brearley), 8-208 (John Emburey)","Fall of wickets: 1-61 (Desmond Haynes), 2-180 (Sir Viv Richards)",Australian Tri Series (CB Series),"England , elected to bat first",ODI no. 87,1979/80
21,West Indies,England,235/9,236/7 (54.3/55 ov),England won by 3 wickets (with 3 balls remaining),"Fall of wickets: 1-86 (Gordon Greenidge), 2-113 (Desmond Haynes), 3-147 (Faoud Bacchus), 4-169 (Alvin Kallicharran), 5-186 (Sir Viv Richards), 6-231 (Collis King), 7-233 (Joel Garner), 8-233 (Malcolm Marshall), 9-235 (Michael Holding)","Fall of wickets: 1-135 (Peter Willey), 2-143 (Chris Tavaré), 3-156 (Geoff Boycott), 4-160 (Graham Gooch), 5-176 (David Gower), 6-212 (Vic Marks), 7-231 (David Bairstow)",West Indies tour of England 1980,"England , elected to field first",ODI no. 90,1980
22,England,Australia,320/8,273/5 (55 ov),England won by 47 runs,"Fall of wickets: 1-154 (Geoff Boycott), 2-215 (Graham Gooch), 3-292 (Bill Athey), 4-298 (Mike Gatting), 5-302 (Sir Ian Botham), 6-311 (David Bairstow), 7-313 (Roland Butcher), 8-318 (Robin Jackman)","Fall of wickets: 1-53 (John Dyson), 2-80 (Bruce Laird), 3-119 (Allan Border), 4-222 (Kim Hughes), 5-259 (Dennis Lillee)",Australia tour of England 1980,"Australia , elected to field first",ODI no. 92,1980
23,West Indies,Australia,234/6,216/9 (50 ov),West Indies won by 18 runs,"Fall of wickets: 1-13 (Desmond Haynes), 2-151 (Sir Viv Richards), 3-155 (Gordon Greenidge), 4-198 (Faoud Bacchus), 5-224 (Jeff Dujon), 6-229 (Sir Andy Roberts)","Fall of wickets: 1-37 (Bruce Laird), 2-57 (Greg Chappell), 3-102 (Kim Hughes), 4-135 (Allan Border), 5-163 (Graeme Wood), 6-173 (Rod Marsh), 7-176 (David Hookes), 8-194 (Len Pascoe), 9-198 (Dennis Lillee)",Australian Tri Series (CB Series),"West Indies , elected to bat first",ODI no. 142,1981/82
24,Australia,New Zealand,302/8,153 (39.5/50 ov),Australia won by 149 runs,"Fall of wickets: 1-140 (Graeme Wood), 2-167 (Kim Hughes), 3-205 (Allan Border), 4-261 (Steve Smith), 5-270 (Greg Chappell), 6-285 (David Hookes), 7-289 (Ken MacLeay), 8-302 (Geoff Lawson)","Fall of wickets: 1-8 (John Wright), 2-8 (Glenn Turner), 3-13 (Geoff Howarth), 4-23 (Jeremy Coney), 5-42 (Jeff Crowe), 6-44 (John Morrison), 7-92 (Warren Lees), 8-103 (Lance Cairns), 9-144 (Ewen Chatfield), 10-153 (Martin Snedden)",Australian Tri Series (CB Series),"Australia , elected to bat first",ODI no. 182,1982/83
25,Australia,West Indies,212/8,213/4 (45.3/50 ov),West Indies won by 6 wickets (with 27 balls remaining),"Fall of wickets: 1-14 (Allan Border), 2-25 (Kepler Wessels), 3-125 (David Boon), 4-140 (Dean Jones), 5-140 (Kim Hughes), 6-185 (Wayne Phillips), 7-210 (Rod Marsh), 8-212 (Geoff Lawson)","Fall of wickets: 1-3 (Desmond Haynes), 2-3 (Larry Gomes), 3-52 (Sir Richie Richardson), 4-176 (Gus Logie)",Australian Tri Series (CB Series),"Australia , elected to bat first",ODI no. 248,1983/84
26,Sri Lanka,India,96,97/0 (21.4/50 ov),India won by 10 wickets (with 170 balls remaining),"Fall of wickets: 1-1 (Brendon Kuruppu), 2-17 (Roy Dias), 3-20 (Duleep Mendis), 4-26 (Sidath Wettimuny), 5-53 (Arjuna Ranatunga), 6-79 (Aravinda de Silva), 7-81 (Uvais Karnain), 8-82 (Ranjan Madugalle), 9-86 (Ravi Ratnayeke), 10-96 (Vinothen John)","Did not bat: DB Vengsarkar, SM Gavaskar (c), SM Patil, RJ Shastri, KBJ Azad, RMH Binny, S Madan Lal, M Prabhakar, C Sharma",Asia Cup,"India , elected to field first",ODI no. 260,1983/84
27,India,Australia,235/5,"236/4 (40.1/44 ov, target 236)",Australia won by 6 wickets (with 23 balls remaining),"Fall of wickets: 1-23 (Ghulam Parkar), 2-83 (Roger Binny), 3-198 (Sunil Gavaskar), 4-207 (Ravi Shastri), 5-217 (Kirti Azad)","Fall of wickets: 1-53 (Wayne Phillips), 2-122 (Steve Smith), 3-153 (Graham Yallop), 4-163 (Kim Hughes)",Australia tour of India 1984/85,"Australia , elected to field first",ODI no. 271,1984/85
28,England,India,121/6,"114/5 (15 ov, target 122)",England won by 7 runs,"Fall of wickets: 1-31 (Graeme Fowler), 2-71 (David Gower), 3-74 (Mike Gatting), 4-86 (Chris Cowdrey), 5-93 (Phil Edmonds), 6-104 (Vic Marks)","Fall of wickets: 1-22 (Kris Srikkanth), 2-49 (Kapil Dev), 3-83 (Mohammad Azharuddin), 4-111 (Yashpal Sharma), 5-112 (Ravi Shastri)",England tour of India 1984/85,"India , elected to field first",ODI no. 298,1984/85
29,Australia,West Indies,178,179/3 (47/50 ov),West Indies won by 7 wickets (with 18 balls remaining),"Fall of wickets: 1-47 (Robbie Kerr), 2-51 (Kepler Wessels), 3-57 (Allan Border), 4-64 (Wayne Phillips), 5-80 (Dean Jones), 6-89 (Geoff Lawson), 7-89 (Craig McDermott), 8-124 (Rod McCurdy), 9-176 (Simon O'Donnell), 10-178 (Rodney Hogg)","Fall of wickets: 1-14 (Sir Richie Richardson), 2-34 (Larry Gomes), 3-162 (Sir Viv Richards)",Australian Tri Series (CB Series),"West Indies , elected to field first",ODI no. 305,1984/85
30,India,West Indies,180/4,186/2 (41.3/45 ov),West Indies won by 8 wickets (with 21 balls remaining),"Fall of wickets: 1-10 (Kris Srikkanth), 2-11 (Mohinder Amarnath), 3-25 (Dilip Vengsarkar), 4-125 (Mohammad Azharuddin)","Fall of wickets: 1-114 (Sir Richie Richardson), 2-147 (Larry Gomes)",Sharjah Cup (various sponsors),"India , elected to bat first",ODI no. 341,1985/86
31,India,Australia,187,188/3 (47.2/50 ov),Australia won by 7 wickets (with 16 balls remaining),"Fall of wickets: 1-34 (Sunil Gavaskar), 2-66 (Kris Srikkanth), 3-70 (Mohinder Amarnath), 4-71 (Kapil Dev), 5-108 (Mohammad Azharuddin), 6-151 (Dilip Vengsarkar), 7-151 (Chetan Sharma), 8-163 (Roger Binny), 9-168 (Kiran More), 10-187 (Ravi Shastri)","Fall of wickets: 1-31 (Geoff Marsh), 2-77 (David Boon), 3-144 (Dirk Wellham)",Australian Tri Series (CB Series),"Australia , elected to field first",ODI no. 363,1985/86
32,Pakistan,Sri Lanka,191/9,195/5 (42.2/45 ov),Sri Lanka won by 5 wickets (with 16 balls remaining),"Fall of wickets: 1-6 (Mudassar Nazar), 2-10 (Mohsin Khan), 3-24 (Ramiz Raja), 4-32 (Imran Khan), 5-72 (Saleem Malik), 6-137 (Manzoor Elahi), 7-179 (Javed Miandad), 8-185 (Wasim Akram), 9-191 (Abdul Qadir)","Fall of wickets: 1-40 (Roshan Mahanama), 2-59 (Asanka Gurusinha), 3-64 (Brendon Kuruppu), 4-161 (Arjuna Ranatunga), 5-191 (Aravinda de Silva)",Asia Cup,"Sri Lanka , elected to field first",ODI no. 379,1985/86
33,New Zealand,Pakistan,214/8,"217/6 (40.4/42 ov, target 215)",Pakistan won by 4 wickets (with 8 balls remaining),"Fall of wickets: 1-16 (Ken Rutherford), 2-102 (John Wright), 3-181 (Martin Crowe), 4-182 (Bruce Blair), 5-194 (Gary Robertson), 6-202 (Jeff Crowe), 7-202 (Tony Blain), 8-211 (Evan Gray)","Fall of wickets: 1-31 (Mohsin Khan), 2-42 (Mudassar Nazar), 3-110 (Ramiz Raja), 4-162 (Saleem Malik), 5-173 (Javed Miandad), 6-206 (Manzoor Elahi)",John Player Triangular Tournament,"Pakistan , elected to field first",ODI no. 380,1985/86
34,England,Australia,187/9,179/8 (50 ov),England won by 8 runs,"Fall of wickets: 1-36 (Sir Ian Botham), 2-73 (Bill Athey), 3-102 (David Gower), 4-120 (Mike Gatting), 5-121 (Chris Broad), 6-143 (John Emburey), 7-146 (Phil DeFreitas), 8-170 (Allan Lamb), 9-170 (Neil Foster)","Fall of wickets: 1-55 (Allan Border), 2-70 (Geoff Marsh), 3-72 (Dean Jones), 4-80 (Greg Ritchie), 5-124 (Steve Waugh), 6-135 (Dirk Wellham), 7-135 (Tim Zoehrer), 8-151 (Greg Matthews)",Australian Tri Series (CB Series),"England , elected to bat first",ODI no. 433,1986/87
35,India,Pakistan,183/8,184/2 (41.4/50 ov),Pakistan won by 8 wickets (with 50 balls remaining),"Fall of wickets: 1-5 (Sunil Gavaskar), 2-5 (Kris Srikkanth), 3-7 (Mohammad Azharuddin), 4-82 (Manoj Prabhakar), 5-116 (Ravi Shastri), 6-151 (Kapil Dev), 7-160 (Sadanand Viswanath), 8-179 (Bharat Arun)","Fall of wickets: 1-22 (Ijaz Ahmed), 2-91 (Ramiz Raja)",Sharjah Cup (various sponsors),"Pakistan , elected to field first",ODI no. 447,1986/87
36,New Zealand,Australia,168/5,"169/4 (34.1/38 ov, target 169)",Australia won by 6 wickets (with 23 balls remaining),"Fall of wickets: 1-20 (John Wright), 2-21 (Tony Blain), 3-31 (Martin Crowe), 4-79 (Sir Richard Hadlee), 5-139 (Jeff Crowe)","Fall of wickets: 1-12 (Geoff Marsh), 2-48 (Craig McDermott), 3-91 (David Boon), 4-145 (Mike Veletta)",Australian Tri Series (CB Series),"Australia , elected to field first",ODI no. 501,1987/88
37,West Indies,Pakistan,235/6,224 (49.4/50 ov),West Indies won by 11 runs,"Fall of wickets: 1-74 (Gordon Greenidge), 2-79 (Sir Richie Richardson), 3-118 (Desmond Haynes), 4-185 (Keith Arthurton), 5-190 (Carl Hooper), 6-228 (Roger Harper)","Fall of wickets: 1-8 (Ramiz Raja), 2-20 (Mudassar Nazar), 3-49 (Shoaib Mohammad), 4-128 (Saleem Malik), 5-159 (Ijaz Ahmed), 6-192 (Javed Miandad), 7-192 (Saleem Yousuf), 8-202 (Wasim Akram), 9-218 (Manzoor Elahi), 10-224 (Abdul Qadir)",Sharjah Champions Trophy,"Pakistan , elected to field first",ODI no. 527,1988/89
38,Australia,West Indies,226/4,"111/2 (13.2/18 ov, target 108)",West Indies won by 8 wickets (with 28 balls remaining) (revised target),"Fall of wickets: 1-40 (David Boon), 2-70 (Geoff Marsh), 3-137 (Allan Border), 4-152 (Mark Waugh)","Fall of wickets: 1-4 (Gordon Greenidge), 2-4 (Sir Richie Richardson)",Australian Tri Series (CB Series),"Australia , elected to bat first",ODI no. 553,1988/89
39,Sri Lanka,Pakistan,244/8,248/3 (47.5/50 ov),Pakistan won by 7 wickets (with 13 balls remaining),"Fall of wickets: 1-74 (Roshan Mahanama), 2-127 (Brendon Kuruppu), 3-157 (Athula Samarasekera), 4-197 (Arjuna Ranatunga), 5-211 (Aravinda de Silva), 6-211 (Graeme Labrooy), 7-219 (Duleep Mendis), 8-244 (Ravi Ratnayeke)","Fall of wickets: 1-18 (Ramiz Raja), 2-46 (Aamer Malik), 3-148 (Shoaib Mohammad)",Pakistan tour of United Arab Emirates 1988/89,"Sri Lanka , elected to bat first",ODI no. 565,1988/89
40,Pakistan,India,252/4,"214/9 (47 ov, target 253)",Pakistan won by 38 runs,"Fall of wickets: 1-33 (Shahid Saeed), 2-125 (Shoaib Mohammad), 3-195 (Sohail Fazal), 4-248 (Saleem Malik)","Fall of wickets: 1-17 (Kris Srikkanth), 2-42 (Mohammad Azharuddin), 3-53 (Navjot Sidhu), 4-88 (Ravi Shastri), 5-100 (Ajay Sharma), 6-145 (Dilip Vengsarkar), 7-146 (Manoj Prabhakar), 8-187 (Kiran More), 9-202 (Chetan Sharma)",Sharjah Champions Trophy,"India , elected to field first",ODI no. 577,1989/90
41,Australia,Pakistan,255/6,186 (45/50 ov),Australia won by 69 runs,"Fall of wickets: 1-84 (Tom Moody), 2-179 (Mark Taylor), 3-183 (Dean Jones), 4-207 (Mark Waugh), 5-214 (Simon O'Donnell), 6-231 (Ian Healy)","Fall of wickets: 1-6 (Saeed Anwar), 2-6 (Ramiz Raja), 3-52 (Saleem Malik), 4-62 (Wasim Akram), 5-72 (Imran Khan), 6-76 (Javed Miandad), 7-132 (Ijaz Ahmed), 8-132 (Mushtaq Ahmed), 9-176 (Saleem Yousuf), 10-186 (Nadeem Ghauri)",Australian Tri Series (CB Series),"Australia , elected to bat first",ODI no. 611,1989/90
42,New Zealand,England,212/6,213/4 (49.3/55 ov),England won by 6 wickets (with 33 balls remaining),"Fall of wickets: 1-25 (John Wright), 2-34 (Andrew Jones), 3-53 (Martin Crowe), 3-53* (Ken Rutherford, retired not out ), 3-93* (Sir Richard Hadlee, retired not out ), 4-174 (Mark Priest), 5-202 (Mark Greatbatch), 6-212 (Chris Pringle)","Fall of wickets: 1-5 (David Gower), 2-15 (Robin Smith), 3-29 (Allan Lamb), 4-104 (Alec Stewart)",New Zealand tour of England 1990,"England , elected to field first",ODI no. 633,1990
43,Pakistan,Sri Lanka,181/9,"131/9 (43 ov, target 182)",Pakistan won by 50 runs,"Fall of wickets: 1-9 (Saeed Anwar), 2-13 (Javed Miandad), 3-15 (Saleem Malik), 4-70 (Aamer Sohail), 5-82 (Imran Khan), 6-94 (Wasim Akram), 7-134 (Saleem Yousuf), 8-137 (Akram Raza), 9-165 (Mushtaq Ahmed)","Fall of wickets: 1-46 (Dammika Ranatunga), 2-47 (Charith Senanayake), 3-66 (Arjuna Ranatunga), 4-68 (Asanka Gurusinha), 5-92 (Aravinda de Silva), 6-100 (Sanath Jayasuriya), 7-102 (Hashan Tillakaratne), 8-122 (Graeme Labrooy), 9-129 (Rumesh Ratnayake)",Pakistan tour of United Arab Emirates 1990/91,"Sri Lanka , elected to field first",ODI no. 656,1990/91
44,West Indies,England,264/9,265/3 (46.1/55 ov),England won by 7 wickets (with 53 balls remaining),"Fall of wickets: 1-8 (Jeff Dujon), 2-8 (Phil Simmons), 3-71 (Sir Richie Richardson), 4-91 (Brian Lara), 5-164 (Sir Viv Richards), 6-227 (Carl Hooper), 7-241 (Gus Logie), 8-258 (Malcolm Marshall), 9-258 (Courtney Walsh)","Fall of wickets: 1-28 (Graham Gooch), 2-48 (Mike Atherton), 3-261 (Neil Fairbrother)",West Indies tour of England 1991,"England , elected to field first",ODI no. 678,1991
45,India,West Indies,126,126 (41/50 ov),Match tied,"Fall of wickets: 1-8 (Kris Srikkanth), 2-35 (Sanjay Manjrekar), 3-41 (Sachin Tendulkar), 4-58 (Mohammad Azharuddin), 5-74 (Ravi Shastri), 6-88 (Kapil Dev), 7-111 (Manoj Prabhakar), 8-122 (Pravin Amre), 9-125 (Kiran More), 10-126 (Javagal Srinath)","Fall of wickets: 1-0 (Desmond Haynes), 2-23 (Philo Wallace), 3-25 (Sir Richie Richardson), 4-55 (Carl Hooper), 5-55 (Keith Arthurton), 6-61 (Brian Lara), 7-69 (David Williams), 8-76 (Malcolm Marshall), 9-113 (Sir Curtly Ambrose), 10-126 (Anderson Cummins)",Australian Tri Series (CB Series),"West Indies , elected to field first",ODI no. 692,1991/92
