,team_1_name,team_2_name,team_1_score,team_2_score,win_commnet,team_1_fall_of_wickets,team_2_fall_of_wickets,series_name,Toss_details,Match_number,Season
2063,Pakistan,Australia,205/6,206/8 (50 ov),Australia won by 2 wickets (with 0 balls remaining),"Fall of wickets: 1-30 (Shahid Afridi, 7.1 ov), 2-75 (Kamran Akmal, 18.3 ov), 3-89 (Younis Khan, 23.4 ov), 4-123 (Shoaib Malik, 31.5 ov), 5-186 (Mohammad Yousuf, 46.2 ov), 6-198 (Misbah-ul-Haq, 49.3 ov)","Fall of wickets: 1-44 (Shane Watson, 8.4 ov), 2-59 (Tim Paine, 11.3 ov), 3-140 (Ricky Ponting, 31.2 ov), 4-157 (Callum Ferguson, 36.4 ov), 5-174 (Michael Hussey, 40.5 ov), 6-175 (James Hopes, 41.2 ov), 7-176 (Cameron White, 41.5 ov), 8-187 (Mitchell Johnson, 45.5 ov)",ICC Champions Trophy (ICC KnockOut),"Australia , elected to field first",ODI no. 2903,2009/10
2064,West Indies,India,129,130/3 (32.1/50 ov),India won by 7 wickets (with 107 balls remaining),"Fall of wickets: 1-0 (Andre Fletcher, 0.6 ov), 2-26 (Kieran Powell, 7.4 ov), 3-27 (Devon Smith, 7.6 ov), 4-31 (Floyd Reifer, 10.2 ov), 5-57 (Travis Dowlin, 16.4 ov), 6-89 (David Bernard, 26.6 ov), 7-99 (Darren Sammy, 29.1 ov), 8-102 (Royston Crandon, 30.6 ov), 9-122 (Kemar Roach, 34.3 ov), 10-129 (Gavin Tonge, 35.6 ov)","Fall of wickets: 1-7 (Gautam Gambhir, 2.5 ov), 2-12 (Rahul Dravid, 3.2 ov), 3-104 (Dinesh Karthik, 27.4 ov)",ICC Champions Trophy (ICC KnockOut),"India , elected to field first",ODI no. 2904,2009/10
2065,England,Australia,257,258/1 (41.5/50 ov),Australia won by 9 wickets (with 49 balls remaining),"Fall of wickets: 1-15 (Andrew Strauss, 1.6 ov), 2-16 (Owais Shah, 2.4 ov), 3-71 (Paul Collingwood, 11.2 ov), 4-91 (Joe Denly, 17.2 ov), 5-100 (Steven Davies, 18.5 ov), 6-101 (Eoin Morgan, 20.2 ov), 7-208 (Luke Wright, 39.6 ov), 8-245 (Graeme Swann, 45.1 ov), 9-251 (Tim Bresnan, 46.2 ov), 10-257 (Graham Onions, 47.4 ov)","Fall of wickets: 1-6 (Tim Paine, 1.3 ov)",ICC Champions Trophy (ICC KnockOut),"England , elected to bat first",ODI no. 2905,2009/10
2066,Pakistan,New Zealand,233/9,234/5 (47.5/50 ov),New Zealand won by 5 wickets (with 13 balls remaining),"Fall of wickets: 1-46 (Imran Nazir, 9.4 ov), 2-61 (Shoaib Malik, 12.5 ov), 3-69 (Kamran Akmal, 14.2 ov), 4-86 (Younis Khan, 20.5 ov), 5-166 (Mohammad Yousuf, 38.6 ov), 6-181 (Umar Akmal, 40.5 ov), 7-183 (Shahid Afridi, 41.2 ov), 8-192 (Umar Gul, 43.3 ov), 9-198 (Naved-ul-Hasan, 44.2 ov)","Fall of wickets: 1-22 (Brendon McCullum, 4.3 ov), 2-43 (Martin Guptill, 9.1 ov), 3-71 (Aaron Redmond, 16.4 ov), 4-126 (Ross Taylor, 29.5 ov), 5-230 (Daniel Vettori, 46.6 ov)",ICC Champions Trophy (ICC KnockOut),"Pakistan , elected to bat first",ODI no. 2906,2009/10
2067,New Zealand,Australia,200/9,206/4 (45.2/50 ov),Australia won by 6 wickets (with 28 balls remaining),"Fall of wickets: 1-5 (Brendon McCullum, 3.2 ov), 2-66 (Aaron Redmond, 18.3 ov), 3-77 (Martin Guptill, 22.2 ov), 4-81 (Ross Taylor, 23.1 ov), 5-94 (Grant Elliott, 26.4 ov), 6-159 (Neil Broom, 40.5 ov), 7-166 (James Franklin, 41.6 ov), 8-174 (Ian Butler, 43.4 ov), 9-187 (Kyle Mills, 46.4 ov)","Fall of wickets: 1-2 (Tim Paine, 1.2 ov), 2-6 (Ricky Ponting, 2.2 ov), 3-134 (Cameron White, 34.5 ov), 4-156 (Michael Hussey, 38.3 ov)",ICC Champions Trophy (ICC KnockOut),"New Zealand , elected to bat first",ODI no. 2907,2009/10
2068,Zimbabwe,Kenya,313/4,222 (49.5/50 ov),Zimbabwe won by 91 runs,"Fall of wickets: 1-121 (Mark Vermeulen, 25.1 ov), 2-173 (Charles Coventry, 35.3 ov), 3-209 (Elton Chigumbura, 40.5 ov), 4-306 (Hamilton Masakadza, 48.5 ov)","Fall of wickets: 1-32 (David Obuya, 5.1 ov), 2-61 (Rakep Patel, 9.5 ov), 3-68 (Alex Obanda, 13.3 ov), 4-110 (Morris Ouma, 23.2 ov), 5-129 (Collins Obuya, 27.3 ov), 6-143 (Steve Tikolo, 31.3 ov), 7-155 (Jimmy Kamande, 36.2 ov), 8-197 (Peter Ongondo, 42.5 ov), 9-202 (Nehemiah Odhiambo, 43.6 ov), 10-222 (Lameck Onyango, 49.5 ov)",Kenya tour of Zimbabwe 2009/10,"Zimbabwe , elected to bat first",ODI no. 2908,2009/10
2069,Zimbabwe,Kenya,263/7,177 (44.5/50 ov),Zimbabwe won by 86 runs,"Fall of wickets: 1-77 (Mark Vermeulen, 14.6 ov), 2-96 (Charles Coventry, 19.2 ov), 3-109 (Brendan Taylor, 22.3 ov), 4-123 (Hamilton Masakadza, 26.4 ov), 5-170 (Sean Williams, 38.1 ov), 6-179 (Elton Chigumbura, 39.4 ov), 7-198 (Prosper Utseya, 44.1 ov)","Fall of wickets: 1-57 (Rakep Patel, 12.4 ov), 2-78 (Alex Obanda, 18.3 ov), 3-83 (David Obuya, 20.6 ov), 4-115 (Steve Tikolo, 30.1 ov), 5-148 (Morris Ouma, 36.6 ov), 6-161 (Collins Obuya, 40.6 ov), 7-163 (Nehemiah Odhiambo, 41.4 ov), 8-174 (Lameck Onyango, 42.3 ov), 9-174 (Elijah Otieno, 42.5 ov), 10-177 (Peter Ongondo, 44.5 ov)",Kenya tour of Zimbabwe 2009/10,"Zimbabwe , elected to bat first",ODI no. 2909,2009/10
2070,Kenya,Zimbabwe,266/9,246 (49.5/50 ov),Kenya won by 20 runs,"Fall of wickets: 1-119 (David Obuya, 19.4 ov), 2-120 (Steve Tikolo, 20.2 ov), 3-133 (Alex Obanda, 24.4 ov), 4-161 (Rakep Patel, 30.2 ov), 5-178 (Morris Ouma, 36.5 ov), 6-185 (Jimmy Kamande, 38.4 ov), 7-243 (Thomas Odoyo, 47.5 ov), 8-244 (Nehemiah Odhiambo, 48.1 ov), 9-266 (Collins Obuya, 49.6 ov)","Fall of wickets: 1-15 (Mark Vermeulen, 2.2 ov), 2-19 (Charles Coventry, 4.5 ov), 3-62 (Hamilton Masakadza, 12.4 ov), 4-204 (Stuart Matsikenyeri, 40.6 ov), 5-207 (Brendan Taylor, 42.2 ov), 6-214 (Prosper Utseya, 45.4 ov), 7-227 (Graeme Cremer, 47.2 ov), 8-228 (Ray Price, 47.6 ov), 9-246 (Elton Chigumbura, 49.5 ov)",Kenya tour of Zimbabwe 2009/10,"Kenya , elected to bat first",ODI no. 2910,2009/10
2071,Kenya,Zimbabwe,270/8,271/4 (48/50 ov),Zimbabwe won by 6 wickets (with 12 balls remaining),"Fall of wickets: 1-64 (Alex Obanda, 11.6 ov), 2-73 (Steve Tikolo, 14.3 ov), 3-104 (David Obuya, 22.4 ov), 4-190 (Rakep Patel, 39.4 ov), 5-197 (Morris Ouma, 41.6 ov), 6-207 (Collins Obuya, 44.2 ov), 7-244 (Thomas Odoyo, 47.5 ov), 8-250 (Jimmy Kamande, 48.3 ov)","Fall of wickets: 1-30 (Hamilton Masakadza, 6.5 ov), 2-141 (Mark Vermeulen, 24.1 ov), 3-188 (Forster Mutizwa, 34.5 ov), 4-254 (Stuart Matsikenyeri, 45.5 ov)",Kenya tour of Zimbabwe 2009/10,"Kenya , elected to bat first",ODI no. 2911,2009/10
2072,Zimbabwe,Kenya,329/3,187 (39.3/50 ov),Zimbabwe won by 142 runs,"Fall of wickets: 1-127 (Forster Mutizwa, 25.1 ov), 2-229 (Brendan Taylor, 41.3 ov), 3-311 (Charles Coventry, 48.6 ov)","Fall of wickets: 1-14 (Alex Obanda, 1.3 ov), 2-48 (David Obuya, 4.5 ov), 3-59 (Rakep Patel, 6.4 ov), 4-84 (Collins Obuya, 13.1 ov), 5-85 (Morris Ouma, 14.1 ov), 6-142 (Thomas Odoyo, 29.5 ov), 7-149 (Jimmy Kamande, 31.1 ov), 8-149 (Lameck Onyango, 31.6 ov), 9-182 (Nehemiah Odhiambo, 37.1 ov), 10-187 (Alfred Luseno, 39.3 ov)",Kenya tour of Zimbabwe 2009/10,"Zimbabwe , elected to bat first",ODI no. 2912,2009/10
