team_1_name,team_2_name,team_1_score,team_2_score,win_commnet,team_1_fall_of_wickets,team_2_fall_of_wickets,series_name,Toss_details,Player_Of_The_Match,Match_number,Season
New Zealand,India,303/5,216 (49.4/50 ov),New Zealand won by 87 runs,"Fall of wickets: 1-22 (Jesse Ryder, 7.4 ov), 2-41 (Martin Guptill, 12.2 ov), 3-193 (Kane Williamson, 37.3 ov), 4-243 (Brendon McCullum, 43.5 ov), 5-274 (Ross Taylor, 47.6 ov)","Fall of wickets: 1-8 (Rohit Sharma, 4.3 ov), 2-20 (Shikhar Dhawan, 9.5 ov), 3-30 (Ajinkya Rahane, 13.2 ov), 4-78 (Ambati Rayudu, 23.6 ov), 5-145 (Virat Kohli, 36.1 ov), 6-167 (Ravichandran Ashwin, 40.2 ov), 7-174 (Ravindra Jadeja, 41.5 ov), 8-181 (MS Dhoni, 44.1 ov), 9-215 (Bhuvneshwar Kumar, 48.6 ov), 10-216 (Varun Aaron, 49.4 ov)",India tour of New Zealand 2013/14,"India , elected to field first",Ross Taylor,ODI no. 3467,2013/14
Zimbabwe,India,168,173/1 (42.3/50 ov),India won by 9 wickets (with 45 balls remaining),"Fall of wickets: 1-8 (Peter Moor, 1.6 ov), 2-30 (Hamilton Masakadza, 8.4 ov), 3-47 (Chamu Chibhabha, 13.1 ov), 4-69 (Vusi Sibanda, 19.2 ov), 5-77 (Craig Ervine, 23.6 ov), 6-115 (Sikandar Raza, 37.3 ov), 7-140 (Richmond Mutumbami, 43.3 ov), 8-156 (Graeme Cremer, 46.5 ov), 9-167 (Elton Chigumbura, 49.3 ov), 10-168 (Tendai Chatara, 49.5 ov)","Fall of wickets: 1-11 (Karun Nair, 4.3 ov)",India tour of Zimbabwe 2016,"India , elected to field first",KL Rahul,ODI no. 3742,2016
Zimbabwe,India,126,129/2 (26.5/50 ov),India won by 8 wickets (with 139 balls remaining),"Fall of wickets: 1-19 (Hamilton Masakadza, 4.3 ov), 2-21 (Peter Moor, 6.2 ov), 3-39 (Chamu Chibhabha, 9.6 ov), 4-106 (Sikandar Raza, 25.2 ov), 5-106 (Elton Chigumbura, 25.3 ov), 6-107 (Vusi Sibanda, 27.4 ov), 7-112 (Richmond Mutumbami, 30.2 ov), 8-115 (Tendai Chatara, 31.4 ov), 9-126 (Taurai Muzarabani, 34.3 ov)","Fall of wickets: 1-58 (KL Rahul, 14.4 ov), 2-125 (Karun Nair, 26.4 ov)",India tour of Zimbabwe 2016,"India , elected to field first",Yuzvendra Chahal,ODI no. 3744,2016
Zimbabwe,India,123,126/0 (21.5/50 ov),India won by 10 wickets (with 169 balls remaining),"Fall of wickets: 1-19 (Hamilton Masakadza, 5.3 ov), 2-55 (Chamu Chibhabha, 20.1 ov), 3-89 (Vusi Sibanda, 28.4 ov), 4-104 (Timycen Maruma, 32.5 ov), 5-104 (Elton Chigumbura, 32.6 ov), 6-104 (Malcolm Waller, 33.1 ov), 7-104 (Graeme Cremer, 33.2 ov), 8-108 (Richmond Mutumbami, 34.3 ov), 9-110 (Tawanda Mupariwa, 36.4 ov), 10-123 (Donald Tiripano, 42.2 ov)","Did not bat: MK Pandey, AT Rayudu, KM Jadhav, MS Dhoni (c) †, AR Patel, DS Kulkarni, JJ Bumrah, BB Sran, YS Chahal",India tour of Zimbabwe 2016,"Zimbabwe , elected to bat first",KL Rahul,India won the 3-match series 3-0,ODI no. 3746
West Indies,Zimbabwe,337/4,181/9 (50 ov),West Indies won by 156 runs,"Fall of wickets: 1-168 (Kieran Powell, 28.4 ov), 2-248 (Johnson Charles, 38.6 ov), 3-266 (Andre Russell, 41.3 ov), 4-302 (Dwayne Bravo, 47.2 ov)","Fall of wickets: 1-18 (Vusi Sibanda, 4.4 ov), 2-22 (Chamu Chibhabha, 5.3 ov), 3-31 (Hamilton Masakadza, 9.2 ov), 4-34 (Brendan Taylor, 10.5 ov), 5-92 (Craig Ervine, 23.5 ov), 6-115 (Regis Chakabva, 29.3 ov), 7-156 (Malcolm Waller, 40.6 ov), 8-161 (Kyle Jarvis, 43.4 ov), 9-181 (Natsai M'shangwe, 48.5 ov)",Zimbabwe tour of West Indies 2012/13,"Zimbabwe , elected to field first",Johnson Charles,ODI no. 3337,2012/13
Zimbabwe,West Indies,273/8,274/3 (49/50 ov),West Indies won by 7 wickets (with 6 balls remaining),"Fall of wickets: 1-39 (Chamu Chibhabha, 11.1 ov), 2-76 (Vusi Sibanda, 18.2 ov), 3-76 (Brendan Taylor, 18.4 ov), 4-186 (Hamilton Masakadza, 40.3 ov), 5-232 (Malcolm Waller, 44.6 ov), 6-241 (Craig Ervine, 45.4 ov), 7-268 (Regis Chakabva, 49.1 ov), 8-271 (Kyle Jarvis, 49.5 ov)","Fall of wickets: 1-111 (Kieran Powell, 25.4 ov), 2-111 (Darren Bravo, 25.6 ov), 3-219 (Narsingh Deonarine, 43.2 ov)",Zimbabwe tour of West Indies 2012/13,"Zimbabwe , elected to bat first",Dwayne Bravo,ODI no. 3339,2012/13
Zimbabwe,West Indies,211/9,215/5 (46.2/50 ov),West Indies won by 5 wickets (with 22 balls remaining),"Fall of wickets: 1-23 (Tino Mawoyo, 9.1 ov), 2-30 (Hamilton Masakadza, 12.3 ov), 3-85 (Vusi Sibanda, 20.6 ov), 4-104 (Brendan Taylor, 24.2 ov), 5-128 (Malcolm Waller, 30.5 ov), 6-139 (Regis Chakabva, 36.3 ov), 7-157 (Tinotenda Mutombodzi, 40.5 ov), 8-160 (Natsai M'shangwe, 41.4 ov), 9-201 (Kyle Jarvis, 48.4 ov)","Fall of wickets: 1-46 (Ramnaresh Sarwan, 11.3 ov), 2-83 (Kieran Powell, 21.4 ov), 3-120 (Narsingh Deonarine, 30.6 ov), 4-121 (Kieron Pollard, 31.2 ov), 5-167 (Dwayne Bravo, 38.3 ov)",Zimbabwe tour of West Indies 2012/13,"Zimbabwe , elected to bat first",Darren Bravo,West Indies won the 3-match series 3-0,ODI no. 3340
New Zealand,Bangladesh,341/7,264 (44.5/50 ov),New Zealand won by 77 runs,"Fall of wickets: 1-31 (Martin Guptill, 5.1 ov), 2-79 (Kane Williamson, 14.2 ov), 3-134 (Neil Broom, 24.3 ov), 4-158 (James Neesham, 28.4 ov), 5-316 (Colin Munro, 46.3 ov), 6-323 (Tom Latham, 47.3 ov), 7-327 (Luke Ronchi, 48.2 ov)","Fall of wickets: 1-34 (Imrul Kayes, 7.3 ov), 2-48 (Soumya Sarkar, 11.2 ov), 3-48 (Mahmudullah, 11.5 ov), 4-81 (Tamim Iqbal, 17.6 ov), 5-144 (Shakib Al Hasan, 27.3 ov), 6-167 (Sabbir Rahman, 30.4 ov), 6-219* (Mushfiqur Rahim, retired not out ), 7-242 (Mashrafe Mortaza, 41.1 ov), 8-252 (Taskin Ahmed, 43.6 ov), 9-264 (Mustafizur Rahman, 44.5 ov)",Bangladesh tour of New Zealand 2016/17,"New Zealand , elected to bat first",Tom Latham,ODI no. 3814,2016/17
New Zealand,Bangladesh,251,184 (42.4/50 ov),New Zealand won by 67 runs,"Fall of wickets: 1-0 (Martin Guptill, 0.4 ov), 2-37 (Kane Williamson, 10.5 ov), 3-47 (Tom Latham, 13.1 ov), 4-98 (James Neesham, 22.5 ov), 5-107 (Colin Munro, 25.3 ov), 6-171 (Luke Ronchi, 37.3 ov), 7-198 (Mitchell Santner, 42.5 ov), 8-214 (Tim Southee, 45.2 ov), 9-228 (Lockie Ferguson, 46.5 ov), 10-251 (Trent Boult, 49.6 ov)","Fall of wickets: 1-30 (Tamim Iqbal, 7.2 ov), 2-105 (Sabbir Rahman, 22.6 ov), 3-112 (Mahmudullah, 25.3 ov), 4-128 (Shakib Al Hasan, 28.4 ov), 5-134 (Mosaddek Hossain, 30.4 ov), 6-136 (Imrul Kayes, 31.3 ov), 7-141 (Tanbir Hayder, 32.4 ov), 8-162 (Mashrafe Mortaza, 36.4 ov), 9-175 (Taskin Ahmed, 39.3 ov), 10-184 (Nurul Hasan, 42.4 ov)",Bangladesh tour of New Zealand 2016/17,"Bangladesh , elected to field first",Neil Broom,ODI no. 3815,2016/17
West Indies,India,321/6,197 (41/50 ov),West Indies won by 124 runs,"Fall of wickets: 1-34 (Dwayne Bravo, 7.1 ov), 2-98 (Dwayne Smith, 17.2 ov), 3-120 (Darren Bravo, 22.3 ov), 4-285 (Denesh Ramdin, 45.4 ov), 5-296 (Kieron Pollard, 47.3 ov), 6-298 (Andre Russell, 47.6 ov)","Fall of wickets: 1-49 (Ajinkya Rahane, 8.4 ov), 2-55 (Virat Kohli, 9.5 ov), 3-82 (Ambati Rayudu, 15.5 ov), 4-83 (Suresh Raina, 16.2 ov), 5-114 (MS Dhoni, 25.1 ov), 6-134 (Shikhar Dhawan, 28.4 ov), 7-138 (Bhuvneshwar Kumar, 30.4 ov), 8-146 (Amit Mishra, 34.3 ov), 9-155 (Mohit Sharma, 35.6 ov), 10-197 (Mohammed Shami, 40.6 ov)",West Indies tour of India 2014/15,"India , elected to field first",Marlon Samuels,ODI no. 3531,2014/15
Bangladesh,New Zealand,236/9,239/2 (41.2/50 ov),New Zealand won by 8 wickets (with 52 balls remaining),"Fall of wickets: 1-102 (Imrul Kayes, 21.2 ov), 2-127 (Sabbir Rahman, 24.5 ov), 3-133 (Mahmudullah, 26.3 ov), 4-141 (Tamim Iqbal, 30.1 ov), 5-168 (Shakib Al Hasan, 36.1 ov), 6-170 (Mosaddek Hossain, 36.5 ov), 7-179 (Tanbir Hayder, 39.5 ov), 8-212 (Mashrafe Mortaza, 46.2 ov), 9-235 (Nurul Hasan, 49.3 ov)","Fall of wickets: 1-10 (Tom Latham, 1.5 ov), 1-16* (Martin Guptill, retired not out ), 2-195 (Neil Broom, 34.1 ov)",Bangladesh tour of New Zealand 2016/17,"Bangladesh , elected to bat first",Kane Williamson,ODI no. 3816,2016/17
India,West Indies,263/7,215 (46.3/50 ov),India won by 48 runs,"Fall of wickets: 1-4 (Shikhar Dhawan, 1.4 ov), 2-50 (Ajinkya Rahane, 12.5 ov), 3-74 (Ambati Rayudu, 17.4 ov), 4-179 (Suresh Raina, 36.5 ov), 5-196 (Virat Kohli, 40.4 ov), 6-219 (Ravindra Jadeja, 45.1 ov), 7-248 (Bhuvneshwar Kumar, 48.6 ov)","Fall of wickets: 1-64 (Darren Bravo, 13.1 ov), 2-136 (Kieron Pollard, 28.5 ov), 3-170 (Dwayne Smith, 35.4 ov), 4-183 (Marlon Samuels, 39.1 ov), 5-189 (Denesh Ramdin, 40.2 ov), 6-195 (Andre Russell, 42.1 ov), 7-199 (Darren Sammy, 42.6 ov), 8-199 (Dwayne Bravo, 43.2 ov), 9-201 (Jerome Taylor, 44.2 ov), 10-215 (Ravi Rampaul, 46.3 ov)",West Indies tour of India 2014/15,"India , elected to bat first",Mohammed Shami,ODI no. 3533,2014/15
India,England,304/6,"161 (38.1/47 ov, target 295)",India won by 133 runs (D/L method),"Fall of wickets: 1-19 (Shikhar Dhawan, 7.1 ov), 2-19 (Virat Kohli, 7.4 ov), 3-110 (Ajinkya Rahane, 23.5 ov), 4-132 (Rohit Sharma, 29.2 ov), 5-276 (Suresh Raina, 46.1 ov), 6-288 (MS Dhoni, 48.3 ov)","Fall of wickets: 1-54 (Sir Alastair Cook, 10.3 ov), 2-56 (Ian Bell, 10.6 ov), 3-63 (Joe Root, 13.4 ov), 4-81 (Alex Hales, 20.4 ov), 5-85 (Jos Buttler, 22.4 ov), 6-119 (Eoin Morgan, 29.5 ov), 7-126 (Ben Stokes, 32.4 ov), 8-128 (Chris Jordan, 33.2 ov), 9-143 (Chris Woakes, 35.3 ov), 10-161 (James Tredwell, 38.1 ov)",India tour of England 2014,"England , elected to field first",Suresh Raina,ODI no. 3517,2014
England,India,227,228/4 (43/50 ov),India won by 6 wickets (with 42 balls remaining),"Fall of wickets: 1-82 (Alex Hales, 17.6 ov), 2-93 (Sir Alastair Cook, 20.5 ov), 3-97 (Joe Root, 22.4 ov), 4-120 (Eoin Morgan, 27.6 ov), 5-138 (Ian Bell, 33.2 ov), 6-149 (Ben Stokes, 35.4 ov), 7-182 (Chris Woakes, 44.6 ov), 8-202 (Jos Buttler, 47.2 ov), 9-226 (James Tredwell, 49.5 ov), 10-227 (Steven Finn, 49.6 ov)","Fall of wickets: 1-35 (Shikhar Dhawan, 7.2 ov), 2-85 (Ajinkya Rahane, 17.5 ov), 3-120 (Virat Kohli, 25.3 ov), 4-207 (Suresh Raina, 40.2 ov)",India tour of England 2014,"India , elected to field first",Ravichandran Ashwin,ODI no. 3520,2014
India,West Indies,330/6,271 (48.1/50 ov),India won by 59 runs,"Fall of wickets: 1-70 (Shikhar Dhawan, 11.3 ov), 2-142 (Ajinkya Rahane, 26.4 ov), 3-280 (Suresh Raina, 44.4 ov), 4-290 (MS Dhoni, 46.3 ov), 5-300 (Ravindra Jadeja, 47.2 ov), 6-330 (Virat Kohli, 49.6 ov)","Fall of wickets: 1-1 (Dwayne Smith, 1.6 ov), 2-27 (Kieron Pollard, 10.6 ov), 3-83 (Darren Bravo, 20.2 ov), 4-120 (Denesh Ramdin, 27.1 ov), 5-121 (Dwayne Bravo, 27.4 ov), 6-165 (Darren Sammy, 35.1 ov), 7-222 (Andre Russell, 40.5 ov), 8-239 (Jason Holder, 43.3 ov), 9-260 (Jerome Taylor, 46.3 ov), 10-271 (Marlon Samuels, 48.1 ov)",West Indies tour of India 2014/15,"West Indies , elected to field first",Virat Kohli,ODI no. 3535,2014/15
England,India,206,212/1 (30.3/50 ov),India won by 9 wickets (with 117 balls remaining),"Fall of wickets: 1-15 (Alex Hales, 4.1 ov), 2-16 (Sir Alastair Cook, 4.4 ov), 3-23 (Gary Ballance, 7.6 ov), 4-103 (Eoin Morgan, 28.2 ov), 5-114 (Joe Root, 32.5 ov), 6-164 (Jos Buttler, 39.3 ov), 7-194 (Chris Woakes, 44.6 ov), 8-201 (Moeen Ali, 46.5 ov), 9-202 (Steven Finn, 47.3 ov), 10-206 (Harry Gurney, 49.3 ov)","Fall of wickets: 1-183 (Ajinkya Rahane, 28.4 ov)",India tour of England 2014,"India , elected to field first",Ajinkya Rahane,ODI no. 3523,2014
England,India,294/7,253 (48.4/50 ov),England won by 41 runs,"Fall of wickets: 1-23 (Alex Hales, 3.4 ov), 2-39 (Moeen Ali, 6.6 ov), 3-91 (Sir Alastair Cook, 19.6 ov), 4-117 (Eoin Morgan, 28.6 ov), 5-225 (Jos Buttler, 42.3 ov), 6-249 (Joe Root, 45.2 ov), 7-265 (Chris Woakes, 47.3 ov)","Fall of wickets: 1-0 (Ajinkya Rahane, 0.3 ov), 2-25 (Virat Kohli, 6.6 ov), 3-49 (Shikhar Dhawan, 13.6 ov), 4-91 (Suresh Raina, 21.4 ov), 5-132 (Ambati Rayudu, 30.2 ov), 6-173 (MS Dhoni, 36.5 ov), 7-203 (Ravichandran Ashwin, 42.5 ov), 8-208 (Bhuvneshwar Kumar, 44.1 ov), 9-209 (Mohammed Shami, 44.4 ov), 10-253 (Ravindra Jadeja, 48.4 ov)",India tour of England 2014,"India , elected to field first",Joe Root,India won the 5-match series 3-1,ODI no. 3525
Australia,India,304/8,232 (49.4/50 ov),Australia won by 72 runs,"Fall of wickets: 1-110 (Phillip Hughes, 18.2 ov), 2-113 (Shane Watson, 19.1 ov), 3-146 (Aaron Finch, 27.1 ov), 4-172 (Adam Voges, 31.6 ov), 5-214 (Glenn Maxwell, 37.6 ov), 6-231 (Brad Haddin, 42.2 ov), 7-264 (George Bailey, 46.3 ov), 8-293 (James Faulkner, 49.2 ov)","Fall of wickets: 1-26 (Shikhar Dhawan, 6.2 ov), 2-66 (Rohit Sharma, 13.5 ov), 3-137 (Suresh Raina, 27.2 ov), 4-147 (Yuvraj Singh, 28.6 ov), 5-166 (Virat Kohli, 34.4 ov), 6-192 (Ravindra Jadeja, 39.3 ov), 7-196 (MS Dhoni, 40.4 ov), 8-200 (Ravichandran Ashwin, 42.1 ov), 9-230 (Vinay Kumar, 48.4 ov), 10-232 (Bhuvneshwar Kumar, 49.4 ov)",Australia tour of India 2013/14,"Australia , elected to bat first",George Bailey,ODI no. 3419,2013/14
Australia,India,359/5,362/1 (43.3/50 ov),India won by 9 wickets (with 39 balls remaining),"Fall of wickets: 1-74 (Aaron Finch, 15.2 ov), 2-182 (Shane Watson, 31.6 ov), 3-212 (Phillip Hughes, 37.2 ov), 4-308 (Glenn Maxwell, 45.5 ov), 5-347 (Adam Voges, 48.6 ov)","Fall of wickets: 1-176 (Shikhar Dhawan, 26.1 ov)",Australia tour of India 2013/14,"Australia , elected to bat first",Rohit Sharma,ODI no. 3420,2013/14
India,Australia,303/9,304/6 (49.3/50 ov),Australia won by 4 wickets (with 3 balls remaining),"Fall of wickets: 1-14 (Shikhar Dhawan, 1.6 ov), 2-37 (Rohit Sharma, 6.6 ov), 3-76 (Suresh Raina, 12.5 ov), 4-76 (Yuvraj Singh, 12.6 ov), 5-148 (Virat Kohli, 29.4 ov), 6-154 (Ravindra Jadeja, 31.3 ov), 7-230 (Ravichandran Ashwin, 42.4 ov), 8-267 (Bhuvneshwar Kumar, 47.5 ov), 9-299 (Vinay Kumar, 49.5 ov)","Fall of wickets: 1-68 (Phillip Hughes, 12.2 ov), 2-82 (Aaron Finch, 16.3 ov), 3-88 (Shane Watson, 19.1 ov), 4-171 (George Bailey, 36.2 ov), 5-174 (Glenn Maxwell, 36.6 ov), 6-213 (Brad Haddin, 41.1 ov)",Australia tour of India 2013/14,"Australia , elected to field first",James Faulkner,ODI no. 3421,2013/14
Australia,India,350/6,351/4 (49.3/50 ov),India won by 6 wickets (with 3 balls remaining),"Fall of wickets: 1-30 (Phillip Hughes, 6.4 ov), 2-45 (Aaron Finch, 11.1 ov), 3-213 (Shane Watson, 34.4 ov), 4-224 (Glenn Maxwell, 35.6 ov), 5-344 (George Bailey, 49.2 ov), 6-346 (Mitchell Johnson, 49.4 ov)","Fall of wickets: 1-178 (Rohit Sharma, 29.3 ov), 2-234 (Shikhar Dhawan, 35.6 ov), 3-290 (Suresh Raina, 42.2 ov), 4-290 (Yuvraj Singh, 42.5 ov)",Australia tour of India 2013/14,"India , elected to field first",Virat Kohli,ODI no. 3424,2013/14
Pakistan,Zimbabwe,244/7,246/3 (48.2/50 ov),Zimbabwe won by 7 wickets (with 10 balls remaining),"Fall of wickets: 1-56 (Ahmed Shehzad, 14.5 ov), 2-80 (Nasir Jamshed, 19.5 ov), 3-179 (Mohammad Hafeez, 37.4 ov), 4-184 (Umar Amin, 38.4 ov), 5-198 (Shahid Afridi, 41.4 ov), 6-202 (Haris Sohail, 43.2 ov), 7-223 (Sarfaraz Ahmed, 47.5 ov)","Fall of wickets: 1-107 (Vusi Sibanda, 23.3 ov), 2-176 (Hamilton Masakadza, 37.4 ov), 3-201 (Timycen Maruma, 42.6 ov)",Pakistan tour of Zimbabwe 2013,"Pakistan , elected to bat first",Hamilton Masakadza,ODI no. 3404,2013
India,Australia,383/6,326 (45.1/50 ov),India won by 57 runs,"Fall of wickets: 1-112 (Shikhar Dhawan, 18.6 ov), 2-113 (Virat Kohli, 19.5 ov), 3-185 (Suresh Raina, 29.3 ov), 4-207 (Yuvraj Singh, 33.5 ov), 5-374 (Rohit Sharma, 49.3 ov), 6-383 (MS Dhoni, 49.6 ov)","Fall of wickets: 1-7 (Aaron Finch, 1.2 ov), 2-64 (Phillip Hughes, 12.1 ov), 3-70 (George Bailey, 15.2 ov), 4-74 (Brad Haddin, 16.5 ov), 5-132 (Adam Voges, 21.6 ov), 6-138 (Glenn Maxwell, 22.2 ov), 7-205 (Shane Watson, 28.2 ov), 8-211 (Nathan Coulter-Nile, 30.1 ov), 9-326 (Clint McKay, 44.6 ov), 10-326 (James Faulkner, 45.1 ov)",Australia tour of India 2013/14,"Australia , elected to field first",Rohit Sharma,India won the 7-match series 3-2,ODI no. 3428
Pakistan,Zimbabwe,299/4,209 (42.4/50 ov),Pakistan won by 90 runs,"Fall of wickets: 1-12 (Ahmed Shehzad, 3.6 ov), 2-62 (Nasir Jamshed, 14.1 ov), 3-84 (Misbah-ul-Haq, 21.3 ov), 4-213 (Umar Amin, 42.3 ov)","Fall of wickets: 1-6 (Vusi Sibanda, 2.2 ov), 2-42 (Hamilton Masakadza, 7.5 ov), 3-65 (Timycen Maruma, 14.6 ov), 4-135 (Sean Williams, 26.6 ov), 5-200 (Brendan Taylor, 38.6 ov), 6-200 (Malcolm Waller, 39.1 ov), 7-201 (Elton Chigumbura, 39.3 ov), 8-206 (Prosper Utseya, 41.4 ov), 9-209 (Tendai Chatara, 42.3 ov), 10-209 (Brian Vitori, 42.4 ov)",Pakistan tour of Zimbabwe 2013,"Zimbabwe , elected to field first",Mohammad Hafeez,ODI no. 3406,2013
Pakistan,Zimbabwe,260/6,152 (40/50 ov),Pakistan won by 108 runs,"Fall of wickets: 1-66 (Nasir Jamshed, 15.3 ov), 1-87* (Mohammad Hafeez, retired not out ), 2-119 (Ahmed Shehzad, 32.2 ov), 3-170 (Umar Amin, 40.2 ov), 4-195 (Shahid Afridi, 43.6 ov), 5-243 (Sarfaraz Ahmed, 48.4 ov), 6-251 (Misbah-ul-Haq, 49.4 ov)","Fall of wickets: 1-12 (Vusi Sibanda, 3.4 ov), 2-46 (Hamilton Masakadza, 10.4 ov), 3-66 (Brendan Taylor, 14.5 ov), 4-68 (Sikandar Raza, 15.6 ov), 5-75 (Sean Williams, 16.6 ov), 6-87 (Elton Chigumbura, 22.4 ov), 7-145 (Prosper Utseya, 36.6 ov), 8-146 (Shingi Masakadza, 37.2 ov), 9-149 (Tinashe Panyangara, 38.3 ov), 10-152 (Malcolm Waller, 39.6 ov)",Pakistan tour of Zimbabwe 2013,"Zimbabwe , elected to field first",Misbah-ul-Haq,Pakistan won the 3-match series 2-1,ODI no. 3408
Afghanistan,Ireland,292/7,262 (46.5/50 ov),Afghanistan won by 30 runs,"Fall of wickets: 1-68 (Mohammad Shahzad, 10.5 ov), 2-151 (Noor Ali Zadran, 29.4 ov), 3-180 (Asghar Afghan, 34.5 ov), 4-197 (Rahmat Shah, 38.1 ov), 5-250 (Hashmatullah Shahidi, 45.1 ov), 6-251 (Samiullah Shinwari, 45.3 ov), 7-283 (Gulbadin Naib, 49.1 ov)","Fall of wickets: 1-13 (Ed Joyce, 2.6 ov), 2-170 (Paul Stirling, 28.4 ov), 3-206 (Niall O'Brien, 35.2 ov), 4-214 (William Porterfield, 36.5 ov), 5-215 (Gary Wilson, 36.6 ov), 6-220 (Stuart Thompson, 38.5 ov), 7-230 (Kevin O'Brien, 41.5 ov), 8-233 (Tim Murtagh, 42.5 ov), 9-246 (George Dockrell, 44.3 ov), 10-262 (Peter Chase, 46.5 ov)",Afghanistan tour of India 2016/17,"Afghanistan , elected to bat first",William Porterfield,ODI no. 3850,2016/17
Afghanistan,Ireland,338,304 (47.3/50 ov),Afghanistan won by 34 runs,"Fall of wickets: 1-90 (Mohammad Shahzad, 14.1 ov), 2-94 (Noor Ali Zadran, 15.5 ov), 3-190 (Rahmat Shah, 33.6 ov), 4-261 (Samiullah Shinwari, 41.4 ov), 5-292 (Mohammad Nabi, 45.3 ov), 6-299 (Asghar Afghan, 46.4 ov), 7-303 (Gulbadin Naib, 47.1 ov), 8-329 (Rashid Khan, 49.1 ov), 9-336 (Shafiqullah, 49.4 ov), 10-338 (Dawlat Zadran, 49.6 ov)","Fall of wickets: 1-113 (Ed Joyce, 18.2 ov), 2-173 (Paul Stirling, 26.4 ov), 3-179 (Niall O'Brien, 28.3 ov), 4-217 (William Porterfield, 33.5 ov), 5-228 (Andy Balbirnie, 36.4 ov), 6-278 (Gary Wilson, 42.5 ov), 7-282 (Stuart Thompson, 44.3 ov), 8-287 (Andy McBrine, 45.2 ov), 9-301 (Tim Murtagh, 46.4 ov), 10-304 (Peter Chase, 47.3 ov)",Afghanistan tour of India 2016/17,"Afghanistan , elected to bat first",Paul Stirling,ODI no. 3851,2016/17
Sri Lanka,Pakistan,255/8,259/4 (45.2/50 ov),Pakistan won by 6 wickets (with 28 balls remaining),"Fall of wickets: 1-44 (Kusal Perera, 8.3 ov), 2-82 (Lahiru Thirimanne, 16.3 ov), 3-111 (Upul Tharanga, 23.4 ov), 4-118 (Tillakaratne Dilshan, 26.1 ov), 5-200 (Angelo Mathews, 41.5 ov), 6-204 (Thisara Perera, 42.6 ov), 7-244 (Milinda Siriwardana, 48.2 ov), 8-245 (Seekkuge Prasanna, 48.5 ov)","Fall of wickets: 1-47 (Azhar Ali, 9.2 ov), 2-65 (Ahmed Shehzad, 14.1 ov), 3-123 (Babar Azam, 25.2 ov), 4-198 (Mohammad Hafeez, 35.5 ov)",Pakistan tour of Sri Lanka 2015,"Pakistan , elected to field first",Mohammad Hafeez,ODI no. 3664,2015
Pakistan,Sri Lanka,287/8,288/8 (48.1/50 ov),Sri Lanka won by 2 wickets (with 11 balls remaining),"Fall of wickets: 1-59 (Ahmed Shehzad, 13.5 ov), 2-75 (Mohammad Hafeez, 17.5 ov), 3-96 (Babar Azam, 23.1 ov), 4-179 (Shoaib Malik, 36.3 ov), 5-197 (Azhar Ali, 39.4 ov), 6-217 (Sarfaraz Ahmed, 42.1 ov), 7-273 (Mohammad Rizwan, 48.4 ov), 8-278 (Yasir Shah, 49.1 ov)","Fall of wickets: 1-92 (Kusal Perera, 8.2 ov), 2-140 (Upul Tharanga, 18.3 ov), 3-155 (Tillakaratne Dilshan, 22.2 ov), 4-157 (Angelo Mathews, 23.3 ov), 5-159 (Lahiru Thirimanne, 24.2 ov), 6-196 (Milinda Siriwardana, 31.2 ov), 7-248 (Sachith Pathirana, 39.3 ov), 8-285 (Thisara Perera, 47.1 ov)",Pakistan tour of Sri Lanka 2015,"Pakistan , elected to bat first",Kusal Perera,ODI no. 3669,2015
Afghanistan,Ireland,264/8,265/4 (48.3/50 ov),Ireland won by 6 wickets (with 9 balls remaining),"Fall of wickets: 1-11 (Noor Ali Zadran, 2.4 ov), 2-20 (Mohammad Shahzad, 4.4 ov), 3-40 (Rahmat Shah, 9.5 ov), 4-44 (Asghar Afghan, 10.2 ov), 5-67 (Mohammad Nabi, 17.1 ov), 6-97 (Samiullah Shinwari, 26.1 ov), 7-193 (Gulbadin Naib, 42.2 ov), 8-193 (Rashid Khan, 42.6 ov)","Fall of wickets: 1-18 (Ed Joyce, 3.2 ov), 2-24 (William Porterfield, 5.6 ov), 3-120 (Niall O'Brien, 27.3 ov), 4-179 (Paul Stirling, 37.4 ov)",Afghanistan tour of India 2016/17,"Afghanistan , elected to bat first",Paul Stirling,ODI no. 3852,2016/17
Afghanistan,Ireland,220,224/7 (46.5/50 ov),Ireland won by 3 wickets (with 19 balls remaining),"Fall of wickets: 1-6 (Mohammad Shahzad, 0.4 ov), 2-6 (Rahmat Shah, 2.2 ov), 3-11 (Usman Ghani, 4.5 ov), 4-57 (Hashmatullah Shahidi, 16.6 ov), 5-75 (Gulbadin Naib, 20.4 ov), 6-83 (Asghar Afghan, 23.4 ov), 7-83 (Rashid Khan, 23.5 ov), 8-142 (Shafiqullah, 32.6 ov), 9-199 (Mohammad Nabi, 46.3 ov), 10-220 (Amir Hamza, 49.5 ov)","Fall of wickets: 1-48 (Paul Stirling, 9.3 ov), 2-59 (Ed Joyce, 14.1 ov), 3-59 (William Porterfield, 15.1 ov), 3-73* (Kevin O'Brien, retired not out ), 4-102 (Andy Balbirnie, 25.1 ov), 5-121 (Stuart Thompson, 30.3 ov), 6-130 (Andy McBrine, 31.5 ov), 7-196 (Gary Wilson, 43.1 ov)",Afghanistan tour of India 2016/17,"Afghanistan , elected to bat first",Kevin O'Brien,ODI no. 3853,2016/17
