team_1_name,team_2_name,team_1_score,team_2_score,win_commnet,team_1_fall_of_wickets,team_2_fall_of_wickets,series_name,Toss_details,Player_Of_The_Match,Match_number,Season
Scotland,Ireland,172,173/3 (36.4/50 ov),Ireland won by 7 wickets (with 80 balls remaining),"Fall of wickets: 1-21 (Matthew Cross, 4.3 ov), 2-51 (Calum MacLeod, 10.2 ov), 3-55 (Hamish Gardiner, 12.5 ov), 4-62 (Preston Mommsen, 14.3 ov), 5-87 (Richie Berrington, 18.5 ov), 6-97 (Josh Davey, 24.2 ov), 7-101 (Freddie Coleman, 25.1 ov), 8-155 (Safyaan Sharif, 36.4 ov), 9-172 (Michael Leask, 38.5 ov), 10-172 (Iain Wardlaw, 40.3 ov)","Fall of wickets: 1-11 (John Anderson, 5.6 ov), 2-50 (Andrew Poynter, 14.3 ov), 3-93 (Andy Balbirnie, 24.5 ov)",Scotland tour of Ireland 2014,"Ireland , elected to field first",Ireland led the 3-match series 1-0,2014,"10.15 start, First Session 10.15-13.45, Interval 13.45-14.30, Second Session 14.30-18.00"
Sri Lanka,West Indies,330/7,329/9 (50 ov),Sri Lanka won by 1 run,"Fall of wickets: 1-18 (Kusal Perera, 2.4 ov), 2-123 (Dhananjaya de Silva, 20.6 ov), 3-230 (Niroshan Dickwella, 38.2 ov), 4-258 (Shehan Jayasuriya, 42.1 ov), 5-277 (Kusal Mendis, 43.3 ov), 6-291 (Asela Gunaratne, 45.4 ov), 7-330 (Upul Tharanga, 49.6 ov)","Fall of wickets: 1-63 (Johnson Charles, 7.6 ov), 2-133 (Kraigg Brathwaite, 21.3 ov), 3-175 (Shai Hope, 29.4 ov), 4-198 (Jonathan Carter, 32.2 ov), 5-224 (Rovman Powell, 35.5 ov), 6-262 (Evin Lewis, 40.3 ov), 7-307 (Carlos Brathwaite, 47.2 ov), 8-312 (Ashley Nurse, 48.2 ov), 9-328 (Sulieman Benn, 49.5 ov)",Zimbabwe Tri-Nation Series,"West Indies , elected to field first",Kusal Mendis,2016/17,"09.30 start, First Session 9.30-13.00, Interval 13.00-13.45, Second Session 13.45-17.15"
Zimbabwe,West Indies,218/8,"124/5 (27.3 ov, target 130)",Zimbabwe won by 5 runs (D/L method),"Fall of wickets: 1-18 (Chamu Chibhabha, 3.6 ov), 2-48 (Hamilton Masakadza, 11.3 ov), 3-59 (Brian Chari, 17.1 ov), 4-63 (Craig Ervine, 18.3 ov), 5-63 (Sean Williams, 18.5 ov), 6-86 (Peter Moor, 24.5 ov), 7-89 (Graeme Cremer, 25.6 ov), 8-127 (Donald Tiripano, 36.5 ov)","Fall of wickets: 1-1 (Johnson Charles, 0.4 ov), 2-12 (Evin Lewis, 2.5 ov), 3-35 (Shai Hope, 9.2 ov), 4-70 (Kraigg Brathwaite, 17.4 ov), 5-93 (Rovman Powell, 22.5 ov)",Zimbabwe Tri-Nation Series,"Zimbabwe , elected to bat first",Tendai Chisoro,2016/17,"09.30 start, First Session 9.30-13.00, Interval 13.00-13.45, Second Session 13.45-17.15"
Zimbabwe,Sri Lanka,160,166/4 (37.3/50 ov),Sri Lanka won by 6 wickets (with 75 balls remaining),"Fall of wickets: 1-8 (Peter Moor, 3.1 ov), 2-19 (Hamilton Masakadza, 4.6 ov), 3-72 (Craig Ervine, 15.2 ov), 4-85 (Tarisai Musakanda, 17.2 ov), 5-89 (Sikandar Raza, 18.4 ov), 6-108 (Malcolm Waller, 22.1 ov), 7-133 (Graeme Cremer, 29.3 ov), 8-155 (Sean Williams, 34.6 ov), 9-160 (Tendai Chisoro, 36.1 ov), 10-160 (Brian Vitori, 36.3 ov)","Fall of wickets: 1-1 (Dhananjaya de Silva, 0.1 ov), 2-29 (Niroshan Dickwella, 4.2 ov), 3-42 (Kusal Perera, 6.1 ov), 4-117 (Kusal Mendis, 27.3 ov)",Zimbabwe Tri-Nation Series,"Zimbabwe , elected to bat first",Kusal Mendis,Sri Lanka won the 2016/17 Zimbabwe Tri-Nation Series,ODI no. 3810
Scotland,Ireland,221,225/7 (44.2/50 ov),Ireland won by 3 wickets (with 34 balls remaining),"Fall of wickets: 1-4 (Matthew Cross, 0.3 ov), 2-8 (Calum MacLeod, 1.3 ov), 3-11 (Preston Mommsen, 2.1 ov), 4-40 (Hamish Gardiner, 11.3 ov), 5-48 (Freddie Coleman, 13.4 ov), 6-132 (Josh Davey, 34.6 ov), 7-155 (Michael Leask, 39.1 ov), 8-170 (Majid Haq, 42.3 ov), 9-218 (Alasdair Evans, 49.2 ov), 10-221 (Iain Wardlaw, 49.5 ov)","Fall of wickets: 1-31 (Andy Balbirnie, 6.4 ov), 2-35 (John Anderson, 8.6 ov), 3-103 (Andrew Poynter, 23.1 ov), 4-157 (Kevin O'Brien, 30.2 ov), 5-171 (Stuart Poynter, 33.5 ov), 6-185 (Stuart Thompson, 36.3 ov), 7-186 (Andrew White, 37.1 ov)",Scotland tour of Ireland 2014,"Ireland , elected to field first",Ireland led the 3-match series 2-0,2014,"10.15 start, First Session 10.15-13.45, Interval 13.45-14.30, Second Session 14.30-18.00"
Ireland,Scotland,241/9,243/2 (45.4/50 ov),Scotland won by 8 wickets (with 26 balls remaining),"Fall of wickets: 1-20 (Andy Balbirnie, 8.2 ov), 2-49 (Stuart Thompson, 17.2 ov), 3-50 (John Anderson, 17.6 ov), 4-95 (Andrew Poynter, 27.1 ov), 5-141 (Kevin O'Brien, 34.1 ov), 6-158 (Stuart Poynter, 38.6 ov), 7-187 (Andrew White, 43.5 ov), 8-215 (Max Sorensen, 47.1 ov), 9-240 (John Mooney, 49.5 ov)","Fall of wickets: 1-7 (Matthew Cross, 1.4 ov), 2-186 (Hamish Gardiner, 37.1 ov)",Scotland tour of Ireland 2014,"Scotland , elected to field first",Craig Young,ODI no. 3529,2014
West Indies,England,360/8,364/4 (48.4/50 ov),England won by 6 wickets (with 8 balls remaining),"Fall of wickets: 1-38 (John Campbell, 8.3 ov), 2-169 (Shai Hope, 29.4 ov), 3-229 (Shimron Hetmyer, 34.3 ov), 4-230 (Nicholas Pooran, 35.4 ov), 5-294 (Darren Bravo, 43.2 ov), 6-317 (Chris Gayle, 46.3 ov), 7-322 (Jason Holder, 47.1 ov), 8-343 (Carlos Brathwaite, 48.2 ov)","Fall of wickets: 1-91 (Jonny Bairstow, 10.5 ov), 2-205 (Jason Roy, 26.6 ov), 3-321 (Eoin Morgan, 42.4 ov), 4-360 (Joe Root, 48.3 ov)",England tour of West Indies 2018/19,"West Indies , elected to bat first",Jason Roy,ODI no. 4096,2018/19
West Indies,England,289/6,263 (47.4/50 ov),West Indies won by 26 runs,"Fall of wickets: 1-61 (John Campbell, 12.1 ov), 2-98 (Chris Gayle, 20.2 ov), 3-121 (Shai Hope, 25.1 ov), 4-197 (Darren Bravo, 37.2 ov), 5-207 (Jason Holder, 38.4 ov), 6-237 (Carlos Brathwaite, 44.3 ov)","Fall of wickets: 1-1 (Jonny Bairstow, 0.2 ov), 2-10 (Jason Roy, 2.1 ov), 3-60 (Joe Root, 12.6 ov), 4-159 (Eoin Morgan, 30.2 ov), 5-228 (Ben Stokes, 39.6 ov), 6-233 (Jos Buttler, 41.3 ov), 7-233 (Tom Curran, 41.4 ov), 8-260 (Adil Rashid, 46.3 ov), 9-261 (Moeen Ali, 46.5 ov), 10-263 (Liam Plunkett, 47.4 ov)",England tour of West Indies 2018/19,"England , elected to field first",Shimron Hetmyer,ODI no. 4097,2018/19
England,West Indies,418/6,389 (48/50 ov),England won by 29 runs,"Fall of wickets: 1-100 (Jonny Bairstow, 13.5 ov), 2-120 (Joe Root, 17.3 ov), 3-165 (Alex Hales, 25.5 ov), 4-369 (Eoin Morgan, 46.1 ov), 5-417 (Jos Buttler, 49.4 ov), 6-418 (Ben Stokes, 49.6 ov)","Fall of wickets: 1-24 (John Campbell, 3.1 ov), 2-44 (Shai Hope, 5.2 ov), 3-220 (Darren Bravo, 23.1 ov), 4-226 (Shimron Hetmyer, 23.3 ov), 5-295 (Chris Gayle, 34.1 ov), 6-301 (Jason Holder, 35.5 ov), 7-389 (Ashley Nurse, 47.2 ov), 8-389 (Carlos Brathwaite, 47.3 ov), 9-389 (Devendra Bishoo, 47.5 ov), 10-389 (Oshane Thomas, 47.6 ov)",England tour of West Indies 2018/19,"West Indies , elected to field first",Jos Buttler,ODI no. 4099,2018/19
England,West Indies,113,115/3 (12.1/50 ov),West Indies won by 7 wickets (with 227 balls remaining),"Fall of wickets: 1-16 (Jonny Bairstow, 2.3 ov), 2-18 (Joe Root, 3.1 ov), 3-57 (Alex Hales, 10.2 ov), 4-63 (Eoin Morgan, 13.3 ov), 5-88 (Ben Stokes, 18.5 ov), 6-111 (Moeen Ali, 24.5 ov), 7-111 (Chris Woakes, 26.3 ov), 8-113 (Jos Buttler, 26.5 ov), 9-113 (Adil Rashid, 27.6 ov), 10-113 (Tom Curran, 28.1 ov)","Fall of wickets: 1-40 (John Campbell, 3.2 ov), 2-93 (Chris Gayle, 7.6 ov), 3-95 (Shai Hope, 8.5 ov)",England tour of West Indies 2018/19,"West Indies , elected to field first",Oshane Thomas,5-match series drawn 2-2,ODI no. 4103
