player_name,class_name,matches_played,innings_batted,not_outs,runs_scored,highest_inns_score,batting_average,balls_faced,batting_strike_rate,hundreds_scored,fifties_scored,boundary_fours,boundary_sixes,catches_taken,stumpings_made
311592,ODIs,83,44,18,303,52*,11.65,342,88.59,0,1,24,7,20,0
311592,T20Is,23,6,2,12,4,3,18,66.66,0,0,0,0,6,0
311592,First-class,90,117,30,1950,99,22.41,2963,65.81,0,10,207,48,43,0
311592,List A,111,58,25,454,52*,13.75,534,85.01,0,1,37,10,26,0
311592,T20s,86,28,13,124,29,8.26,142,87.32,0,0,11,0,28,0
325012,ODIs,39,36,7,1028,146*,35.44,1107,92.86,1,6,85,36,11,0
325012,T20Is,19,14,5,136,33*,15.11,117,116.23,0,0,14,2,7,0
325012,First-class,53,91,6,2857,170,33.61,5352,53.38,4,19,359,33,21,0
325012,List A,81,74,10,2155,146*,33.67,2494,86.4,3,14,181,74,25,0
325012,T20s,97,84,23,1725,99,28.27,1378,125.18,0,7,141,48,26,0
500268,ODIs,3,3,1,125,84*,62.5,86,145.34,0,1,8,8,1,0
500268,T20Is,5,4,0,26,18,6.5,26,100,0,0,1,0,2,0
500268,First-class,39,64,6,2105,110,36.29,3925,53.63,3,10,279,7,40,0
500268,List A,33,32,8,867,84*,36.12,888,97.63,0,5,78,26,13,0
500268,T20s,78,68,15,1135,73,21.41,826,137.4,0,7,67,50,26,0
219889,Tests,74,137,5,6363,253,48.2,8540,74.5,21,29,765,55,54,0
219889,ODIs,114,112,5,4859,179,45.41,5094,95.38,16,20,503,76,53,0
219889,T20Is,70,70,3,1792,90*,26.74,1279,140.1,0,13,172,79,41,0
219889,First-class,102,184,7,8608,253,48.63,11545,74.56,28,37,1055,75,68,0
219889,List A,159,157,7,6610,197,44.06,6805,97.13,21,25,676,133,71,0
219889,T20s,271,270,30,8803,135*,36.67,6190,142.21,7,71,860,349,129,0
379504,ODIs,48,20,5,100,22,6.66,159,62.89,0,0,6,1,10,0
379504,T20Is,22,6,4,23,9,11.5,26,88.46,0,0,2,0,1,0
379504,First-class,36,59,7,1118,74,21.5,1567,71.34,0,6,123,14,9,0
379504,List A,82,47,11,563,66,15.63,580,97.06,0,3,57,15,18,0
379504,T20s,115,40,17,138,17*,6,155,89.03,0,0,11,2,15,0
550137,ODIs,2,1,0,1,1,1,11,9.09,0,0,0,0,1,0
550137,T20Is,13,5,4,58,22*,58,43,134.88,0,0,5,4,2,0
550137,First-class,32,42,13,365,68,12.58,806,45.28,0,1,34,13,15,0
550137,List A,64,35,12,256,32*,11.13,405,63.2,0,0,11,10,17,0
550137,T20s,53,20,13,132,22*,18.85,106,124.52,0,0,10,8,21,0
410763,Tests,5,10,3,11,4,1.57,62,17.74,0,0,1,0,0,0
410763,ODIs,2,-,-,-,-,-,-,-,-,-,-,-,0,0
410763,T20Is,3,2,0,3,2,1.5,7,42.85,0,0,0,0,1,0
410763,First-class,76,101,43,456,53*,7.86,1119,40.75,0,1,59,7,18,0
410763,List A,57,30,13,60,11*,3.52,110,54.54,0,0,6,1,10,0
410763,T20s,46,13,9,25,10*,6.25,29,86.2,0,0,3,0,6,0
380354,Tests,4,8,0,73,22,9.12,220,33.18,0,0,8,0,2,0
380354,ODIs,37,34,0,1038,120,30.52,1464,70.9,3,3,101,19,10,0
380354,T20Is,13,13,2,355,58,32.27,301,117.94,0,1,38,12,2,0
380354,First-class,83,145,10,5908,216,43.76,10416,56.72,17,29,643,103,93,24
380354,List A,142,137,6,4373,150*,33.38,5499,79.52,12,19,390,123,80,25
380354,T20s,102,97,9,2139,105,24.3,1794,119.23,1,8,186,82,40,16
